gen, roulette_scalar3_uniform_best, roulette_scalar3_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.108819
   3,   0.2628, 0.111365
   4,   0.2628, 0.113281
   5,   0.2628, 0.111415
   6,   0.2628, 0.110487
   7,   0.2628, 0.111493
   8,   0.2628, 0.112762
   9,   0.2628, 0.115516
  10,   0.2628, 0.115584
  11,   0.2628, 0.112036
  12,   0.2628, 0.111862
  13,   0.2628,  0.11683
  14,   0.2628, 0.121881
  15,   0.2628, 0.119014
  16,   0.2628, 0.118557
  17,   0.2628, 0.117951
  18,   0.2628, 0.120224
  19,   0.2739, 0.123436
  20,   0.2739, 0.126106
  21,   0.2739, 0.126776
  22,   0.2739, 0.126101
  23,   0.2739,  0.12516
  24,   0.2739, 0.127803
  25,   0.2739, 0.133112
  26,   0.2739, 0.132379
  27,   0.2739, 0.134968
  28,   0.2739,  0.13386
  29,   0.3026, 0.136033
  30,   0.3026, 0.134712
  31,   0.3026,  0.13541
  32,   0.3026, 0.136152
  33,   0.3026, 0.135607
  34,   0.3026, 0.134176
  35,   0.3026, 0.138436
  36,   0.3026, 0.142825
  37,   0.3026, 0.147486
  38,   0.3026, 0.147566
  39,   0.3026, 0.149502
  40,   0.3026, 0.149234
  41,   0.3026, 0.149985
  42,   0.3026, 0.153179
  43,   0.3026, 0.150407
  44,   0.3026, 0.151148
  45,   0.3026, 0.155222
  46,   0.3026, 0.154201
  47,   0.3217, 0.152515
  48,   0.3217, 0.154731
  49,   0.3217, 0.153921
  50,   0.3217, 0.158419
  51,   0.3217, 0.158888
  52,   0.3217, 0.159314
  53,   0.3217, 0.159786
  54,   0.3217, 0.165167
  55,   0.3217, 0.170386
  56,   0.3217, 0.167808
  57,   0.3217, 0.166602
  58,   0.3417, 0.170966
  59,   0.3417, 0.176185
  60,   0.3417, 0.175001
  61,   0.3417, 0.179319
  62,   0.3417,  0.18029
  63,   0.3472, 0.185211
  64,   0.3472, 0.184138
  65,   0.3472, 0.185711
  66,   0.3472, 0.184947
  67,   0.3472, 0.188859
  68,   0.3472, 0.188211
  69,   0.3523, 0.189955
  70,   0.3523, 0.188733
  71,   0.3523, 0.195061
  72,   0.3523, 0.193232
  73,   0.3523, 0.199349
  74,   0.3633,  0.19965
  75,   0.3633, 0.207047
  76,   0.3633,  0.20937
  77,   0.3633, 0.210857
  78,   0.3633, 0.209785
  79,   0.3633, 0.212114
  80,   0.3633, 0.214449
  81,   0.3793, 0.216163
  82,   0.3793, 0.219789
  83,   0.3793, 0.220171
  84,   0.3793, 0.219297
  85,   0.3793, 0.217153
  86,   0.3793, 0.217629
  87,   0.3793, 0.219511
  88,   0.3793, 0.217037
  89,   0.3793, 0.218373
  90,   0.3793, 0.222577
  91,   0.3831, 0.230567
  92,   0.3837, 0.233978
  93,   0.3837, 0.235364
  94,   0.3897, 0.242609
  95,   0.3897,  0.24454
  96,   0.4049, 0.241737
  97,   0.4445, 0.243271
  98,   0.4445, 0.248557
  99,   0.4445, 0.254224
