gen, roulette_scalar1_twopoint_best, roulette_scalar1_twopoint_ave
   1,   0.1505, 0.100111
   2,   0.1878, 0.106801
   3,   0.2579, 0.111057
   4,   0.2579, 0.114091
   5,   0.2579,  0.11228
   6,   0.2579, 0.113618
   7,   0.2579, 0.115734
   8,   0.2579, 0.118692
   9,   0.2579, 0.121369
  10,   0.2579,  0.12165
  11,   0.2243, 0.126288
  12,   0.2243, 0.132269
  13,   0.2689, 0.132139
  14,   0.3238, 0.136068
  15,   0.3238, 0.134881
  16,   0.3238, 0.142758
  17,   0.3238, 0.146903
  18,   0.3238,  0.14836
  19,   0.3238, 0.153498
  20,   0.3238, 0.157125
  21,   0.3238, 0.158434
  22,   0.3238, 0.164083
  23,   0.3238, 0.165943
  24,    0.291, 0.167164
  25,   0.3011, 0.170198
  26,   0.2761, 0.168415
  27,   0.2761, 0.168438
  28,   0.2761, 0.169992
  29,   0.2761, 0.168434
  30,   0.2549, 0.169178
  31,   0.2549, 0.170424
  32,   0.2549, 0.172278
  33,   0.3509,  0.17751
  34,   0.3509, 0.178565
  35,   0.3509, 0.182431
  36,   0.3509, 0.186915
  37,   0.3256, 0.192124
  38,   0.3256, 0.192886
  39,   0.3256, 0.196707
  40,   0.3256, 0.196066
  41,   0.3256, 0.206944
  42,   0.3029, 0.213298
  43,   0.3063, 0.224902
  44,   0.3226, 0.231036
  45,   0.3226, 0.232163
  46,   0.3634, 0.238056
  47,   0.3634, 0.239219
  48,   0.3634, 0.239897
  49,   0.3515, 0.242127
  50,   0.3515, 0.245483
  51,   0.3515, 0.250148
  52,   0.3559, 0.252171
  53,   0.3598, 0.261256
  54,   0.3559, 0.261942
  55,   0.3559, 0.265535
  56,   0.3559, 0.269047
  57,   0.3471, 0.269275
  58,   0.3471, 0.273786
  59,   0.3471, 0.269509
  60,   0.3471, 0.271784
  61,   0.3471, 0.274029
  62,   0.3471, 0.275024
  63,   0.3492, 0.276569
  64,   0.3683, 0.277403
  65,   0.3683, 0.279733
  66,   0.3683,  0.27718
  67,   0.3683, 0.280912
  68,   0.3642, 0.281906
  69,   0.3816, 0.284321
  70,    0.377, 0.281725
  71,   0.4009, 0.281446
  72,   0.4009, 0.288196
  73,   0.4009, 0.285441
  74,   0.4244, 0.285385
  75,   0.4244, 0.286129
  76,   0.4211, 0.290758
  77,   0.4211, 0.294625
  78,   0.4211, 0.294269
  79,   0.4415, 0.296831
  80,   0.4415, 0.294746
  81,   0.4415, 0.298115
  82,   0.4477, 0.298016
  83,   0.4603, 0.300816
  84,   0.4603, 0.302666
  85,   0.4603, 0.309943
  86,   0.4603,  0.31272
  87,   0.4603, 0.312485
  88,   0.4603, 0.312402
  89,   0.4603, 0.311357
  90,   0.4603, 0.312415
  91,   0.4603, 0.314349
  92,   0.4603, 0.310843
  93,   0.4603, 0.312178
  94,   0.4603, 0.311406
  95,   0.4603, 0.313272
  96,   0.4603, 0.317596
  97,   0.4603, 0.310543
  98,   0.4603,  0.31231
  99,   0.4603, 0.317333
 100,   0.4603, 0.315857
 101,   0.4603, 0.315317
 102,   0.4603, 0.320194
 103,   0.4603, 0.323677
 104,   0.4522, 0.324632
 105,   0.4522, 0.323635
 106,   0.4522, 0.319921
 107,   0.4493, 0.322612
 108,   0.4493, 0.324248
 109,   0.4493,   0.3223
 110,   0.4493, 0.317593
 111,   0.4493, 0.320174
 112,   0.4493,  0.31913
 113,   0.4493, 0.318583
 114,   0.4537, 0.323279
 115,   0.4537, 0.323163
 116,   0.4537, 0.324133
 117,   0.4537, 0.322817
 118,   0.4537, 0.321832
 119,   0.4537, 0.329136
 120,   0.4438, 0.320657
 121,   0.4438, 0.321168
 122,   0.4438, 0.328006
 123,   0.4438, 0.329926
 124,   0.4438, 0.328068
 125,   0.4544, 0.324749
 126,   0.4544, 0.326733
 127,   0.4391, 0.330949
 128,   0.4391, 0.335407
 129,   0.4391, 0.333192
 130,   0.4544,  0.33428
 131,   0.4544, 0.339396
 132,   0.4544, 0.340008
 133,   0.4544, 0.343983
 134,   0.4544, 0.340357
 135,   0.4544, 0.341247
 136,   0.4544, 0.342821
 137,   0.4551, 0.343507
 138,   0.4551, 0.341832
 139,    0.489,  0.33716
 140,   0.4885, 0.333538
 141,   0.4941,  0.33749
 142,   0.4941, 0.340051
 143,   0.4941, 0.338565
 144,   0.5089, 0.342693
 145,   0.5161, 0.347824
 146,   0.5161, 0.351781
 147,   0.5161, 0.356601
 148,   0.5161, 0.357774
 149,    0.504, 0.360698
 150,    0.504, 0.362235
 151,    0.504, 0.369002
 152,    0.504,   0.3737
 153,    0.504, 0.371722
 154,   0.5173, 0.369345
 155,   0.4961, 0.369931
 156,   0.4961, 0.370096
 157,   0.4961, 0.375218
 158,   0.4961, 0.376736
 159,    0.513,  0.37383
 160,    0.513, 0.378093
 161,    0.513,  0.37296
 162,    0.513, 0.374585
 163,    0.513, 0.375723
 164,    0.513, 0.374836
 165,    0.513, 0.373845
 166,    0.513, 0.375556
 167,   0.5135, 0.378495
 168,   0.5135, 0.376254
 169,   0.5135, 0.369966
 170,   0.5359, 0.370802
 171,   0.5402, 0.367593
 172,   0.5402, 0.364148
 173,   0.5402, 0.364007
 174,   0.5402, 0.368377
 175,   0.5402, 0.371112
 176,   0.5402, 0.372543
 177,    0.537, 0.375481
 178,   0.5164, 0.376061
 179,   0.5164, 0.381585
 180,   0.5385, 0.383979
 181,   0.5385, 0.387469
 182,   0.5385, 0.382193
 183,   0.5385, 0.384588
 184,   0.5385, 0.381367
 185,   0.5385, 0.380404
 186,   0.5385, 0.379216
 187,   0.5385, 0.378311
 188,   0.5385, 0.381269
 189,   0.5565,  0.38911
 190,   0.5565, 0.393156
 191,   0.5565, 0.390352
 192,   0.5546, 0.388112
 193,   0.5267, 0.394301
 194,   0.5267,  0.38644
 195,   0.5267, 0.391374
 196,   0.5267, 0.392137
 197,   0.5267, 0.389477
 198,   0.5267, 0.393226
 199,    0.529,  0.39502
 200,    0.529, 0.396189
 201,    0.529, 0.396588
 202,    0.529, 0.398183
 203,    0.529, 0.392487
 204,    0.529, 0.396277
 205,    0.529, 0.392699
 206,    0.529, 0.392369
 207,    0.529, 0.390456
 208,    0.529, 0.389572
 209,    0.529, 0.388241
 210,    0.529, 0.380149
 211,    0.529, 0.388259
 212,    0.529,  0.39772
 213,    0.529, 0.393135
 214,   0.5331, 0.392709
 215,   0.5331, 0.393174
 216,   0.5331, 0.392852
 217,   0.5331, 0.390548
 218,   0.5331, 0.391597
 219,   0.5495, 0.394172
 220,   0.5495, 0.404254
 221,   0.5495, 0.395271
 222,   0.5495, 0.388171
 223,   0.5495, 0.392056
 224,   0.5339, 0.399864
 225,   0.5339, 0.396944
 226,   0.5345, 0.403366
 227,   0.5345, 0.401525
 228,   0.5345, 0.399981
 229,   0.5345, 0.400996
 230,   0.5621, 0.398876
 231,   0.5621, 0.405075
 232,   0.5621, 0.402201
 233,   0.5621,  0.40202
 234,   0.5621, 0.400108
 235,   0.5621, 0.404222
 236,   0.5621, 0.401092
 237,   0.5383, 0.394857
 238,   0.5383, 0.393229
 239,   0.5383, 0.398865
 240,     0.55, 0.396626
 241,    0.549, 0.395322
 242,    0.549, 0.391062
 243,    0.549, 0.392819
 244,    0.549,  0.39967
 245,    0.549, 0.404844
 246,    0.549, 0.406018
 247,   0.5582,   0.3949
 248,   0.5582, 0.400335
 249,   0.5582, 0.395881
 250,   0.5582, 0.397639
 251,   0.5582, 0.395421
 252,   0.5582, 0.395365
 253,   0.5582, 0.401009
 254,   0.5582,  0.39524
 255,   0.5582, 0.392869
 256,   0.5582, 0.404477
 257,   0.5582,  0.40956
 258,   0.5599,  0.40363
 259,   0.5599, 0.398141
 260,   0.5641,  0.39736
 261,   0.5641, 0.402417
 262,   0.5641, 0.402734
 263,   0.5641, 0.405914
 264,   0.5641,    0.406
 265,   0.5641, 0.406391
 266,   0.5637, 0.399881
 267,   0.5637, 0.404382
 268,   0.5637, 0.399548
 269,   0.5702, 0.401745
 270,   0.5702, 0.403164
 271,   0.5702, 0.405933
 272,   0.5702, 0.405334
 273,   0.5702, 0.410757
 274,   0.5702, 0.406621
 275,   0.5702, 0.405284
 276,   0.5702, 0.408314
 277,   0.5702, 0.406769
 278,   0.5702, 0.406584
 279,    0.564, 0.408392
 280,   0.5786, 0.413275
 281,   0.5786,  0.41463
 282,   0.5786, 0.411413
 283,   0.5786, 0.405143
 284,   0.5786, 0.401016
 285,   0.5603, 0.409433
 286,    0.576,  0.41925
 287,    0.576, 0.414225
 288,    0.576, 0.409203
 289,    0.576, 0.408403
 290,    0.576, 0.407662
 291,    0.576, 0.406435
 292,    0.576, 0.406184
 293,    0.576, 0.409012
 294,    0.576,  0.41006
 295,    0.576, 0.418023
 296,    0.576, 0.424932
 297,    0.576, 0.425534
 298,    0.576, 0.422622
 299,    0.576, 0.422548
 300,    0.576, 0.419551
 301,    0.576, 0.418576
 302,    0.576, 0.416712
 303,    0.576, 0.421171
 304,    0.576, 0.421255
 305,    0.576, 0.423176
 306,    0.576,  0.42298
 307,    0.576,  0.41086
 308,    0.576, 0.409692
 309,    0.576, 0.415118
 310,    0.576, 0.412578
 311,    0.576, 0.417302
 312,   0.5741, 0.419827
 313,   0.5754, 0.419237
 314,   0.5754, 0.412792
 315,   0.5754, 0.414692
 316,   0.5754,  0.41723
 317,   0.5754, 0.420923
