gen, roulette_scalar1_onepoint_best, roulette_scalar1_onepoint_ave
   1,   0.1505, 0.100111
   2,   0.1505, 0.106687
   3,   0.1764, 0.113403
   4,   0.1764, 0.114589
   5,   0.1709, 0.114547
   6,   0.1861, 0.114413
   7,   0.1861,  0.11661
   8,   0.1861, 0.114726
   9,   0.1933, 0.114789
  10,   0.2018, 0.116391
  11,   0.2045, 0.117281
  12,   0.2583, 0.117988
  13,   0.2583, 0.121689
  14,   0.2651, 0.125261
  15,   0.2651, 0.129445
  16,   0.2651, 0.128851
  17,   0.2487,  0.12888
  18,   0.2487, 0.140067
  19,   0.2812, 0.147125
  20,    0.257, 0.148911
  21,   0.2715, 0.162179
  22,   0.2715, 0.168082
  23,   0.2775, 0.176658
  24,   0.2924, 0.182882
  25,   0.3002,  0.18742
  26,   0.3002, 0.192465
  27,   0.3002, 0.197628
  28,   0.3002, 0.207268
  29,   0.3059, 0.206234
  30,   0.3059, 0.204974
  31,   0.3059, 0.210254
  32,   0.3059, 0.214486
  33,   0.3145, 0.210549
  34,   0.3072, 0.207092
  35,   0.3072, 0.209282
  36,   0.3072, 0.209217
  37,   0.3072, 0.208539
  38,   0.3072, 0.215033
  39,   0.2971, 0.214225
  40,   0.2971, 0.219409
  41,   0.2971, 0.222111
  42,   0.3087, 0.225634
  43,   0.3087, 0.227584
  44,   0.3072, 0.229256
  45,   0.3072,   0.2333
  46,   0.3465, 0.233275
  47,   0.3256, 0.237529
  48,   0.3256,  0.24042
  49,   0.3256, 0.235304
  50,   0.3256, 0.236641
  51,    0.309, 0.231982
  52,    0.309, 0.233026
  53,    0.309,  0.23557
  54,    0.309, 0.235551
  55,   0.3359,  0.24253
  56,   0.3359, 0.247464
  57,   0.3359, 0.246638
  58,   0.3359, 0.249174
  59,   0.3181, 0.250305
  60,   0.3528, 0.249399
  61,   0.3528, 0.251281
  62,   0.3665, 0.251113
  63,   0.3513,  0.25381
  64,   0.3513, 0.247334
  65,   0.3513, 0.253259
  66,   0.3513, 0.253953
  67,   0.3513, 0.252763
  68,   0.3513,  0.25577
  69,   0.3545, 0.254717
  70,   0.3408, 0.256845
  71,   0.3408, 0.257325
  72,   0.3329, 0.256061
  73,   0.3329, 0.255562
  74,   0.3329, 0.255677
  75,   0.3329,  0.25661
  76,   0.3329, 0.253857
  77,   0.3329, 0.252528
  78,   0.3329, 0.252209
  79,   0.3329, 0.255452
  80,   0.3329,  0.25404
  81,   0.3478, 0.259073
  82,   0.3478, 0.264468
  83,   0.3478, 0.262373
  84,   0.3497, 0.260721
  85,   0.3497, 0.260079
  86,   0.3497, 0.263133
  87,   0.3497, 0.259077
  88,   0.3562,  0.26131
  89,   0.3938, 0.264388
  90,    0.378, 0.261899
  91,    0.378, 0.261445
  92,    0.378, 0.260807
  93,   0.4085, 0.261407
  94,   0.4085, 0.263866
  95,   0.4055, 0.260291
  96,   0.4055, 0.258689
  97,   0.4055, 0.262103
  98,   0.4055,  0.26096
  99,   0.4055, 0.264234
 100,   0.4055, 0.264725
 101,   0.4055, 0.264559
 102,   0.4055, 0.269987
 103,   0.4055, 0.271176
 104,   0.4227, 0.275611
 105,   0.4227, 0.271229
 106,   0.4014, 0.276702
 107,   0.4014, 0.281393
 108,   0.4275, 0.282329
 109,   0.4275, 0.288589
 110,   0.3985,  0.29177
 111,   0.3985, 0.289035
 112,   0.3985, 0.290576
 113,   0.3985, 0.294685
 114,   0.4304, 0.299247
 115,   0.4304, 0.302302
 116,   0.4283, 0.301044
 117,   0.4283, 0.302671
 118,   0.4262, 0.303072
 119,   0.4133, 0.305839
 120,   0.4133, 0.312939
 121,   0.4133, 0.310262
 122,   0.4133, 0.309882
 123,   0.4133,  0.31474
 124,   0.4341, 0.316114
 125,   0.4341, 0.317873
 126,   0.4382,  0.31549
 127,   0.4365, 0.315853
 128,   0.4365, 0.313342
 129,   0.4365, 0.318684
 130,   0.4365, 0.312672
 131,   0.4365, 0.312496
 132,   0.4365, 0.309756
 133,   0.4365, 0.305916
 134,   0.4365, 0.307265
 135,   0.4365, 0.300034
 136,   0.4365,  0.29945
 137,   0.4365, 0.296979
 138,   0.4398,  0.30471
 139,   0.4282, 0.309835
 140,   0.4282, 0.310856
 141,   0.4282,  0.31096
 142,   0.4282,  0.31134
 143,   0.4282, 0.312566
 144,   0.4282,  0.31721
 145,   0.4692, 0.321769
 146,   0.4692, 0.321228
 147,   0.4692, 0.325392
 148,   0.4692, 0.326298
 149,   0.4692, 0.330167
 150,   0.4692,  0.32882
 151,   0.4692, 0.328554
 152,   0.4692, 0.329738
 153,   0.4692, 0.330955
 154,   0.4692, 0.325753
 155,   0.4692, 0.327803
 156,   0.4597,  0.33523
 157,   0.4865, 0.333509
 158,   0.4865, 0.331462
 159,   0.4865, 0.328054
 160,   0.4928, 0.331956
 161,   0.4928,  0.33845
 162,   0.4771, 0.339976
 163,   0.4771, 0.339196
 164,   0.4771, 0.343637
 165,   0.4771, 0.341258
 166,   0.4771,  0.34023
 167,   0.4771, 0.346065
 168,   0.4771, 0.350201
 169,   0.4771, 0.349068
 170,   0.4771, 0.347476
 171,   0.4771, 0.356027
 172,   0.4771, 0.355601
 173,      0.5, 0.354759
 174,      0.5, 0.352897
 175,      0.5, 0.355622
 176,      0.5, 0.352957
 177,      0.5, 0.349364
 178,      0.5, 0.353892
 179,      0.5, 0.353031
 180,      0.5,  0.35425
 181,   0.5032, 0.349508
 182,   0.5028, 0.350455
 183,   0.5028,  0.35611
 184,   0.5028, 0.363312
 185,   0.5028, 0.361736
 186,   0.5028, 0.361647
 187,   0.5028, 0.361554
 188,   0.5028, 0.363382
 189,   0.5028, 0.361055
 190,   0.5028, 0.355463
 191,   0.5028,  0.35208
 192,   0.5028, 0.352281
 193,   0.5028, 0.354311
 194,   0.5028, 0.355428
 195,   0.5028, 0.354712
 196,   0.5028, 0.349991
 197,   0.5028, 0.353949
 198,   0.5028,  0.35775
 199,   0.5028,  0.35267
 200,   0.5028, 0.360272
 201,   0.5028, 0.361137
 202,   0.5028, 0.370035
 203,   0.5028,   0.3667
 204,   0.5028, 0.362921
 205,   0.5028, 0.358161
 206,   0.4888, 0.360188
