gen, roulette_hypot_uniform_best, roulette_hypot_uniform_ave
 186,   0.4161, 0.274432
 187,   0.4161, 0.276774
 188,   0.4161, 0.274975
 189,   0.4161, 0.274679
 190,   0.4161, 0.270153
 191,   0.4161, 0.277819
 192,   0.4161, 0.277477
 193,   0.4161, 0.280068
 194,   0.4161, 0.280932
 195,   0.4161, 0.282184
 196,   0.4161, 0.282598
 197,   0.4521,  0.28331
 198,   0.4521,  0.28283
 199,   0.4521, 0.287531
 200,   0.4521,  0.28466
 201,   0.4521, 0.288833
 202,   0.4521,  0.28847
 203,   0.4521, 0.284418
 204,   0.4521, 0.288502
 205,   0.4485, 0.284151
 206,   0.4485, 0.285012
 207,   0.4485, 0.287794
 208,   0.4485, 0.288857
 209,   0.4485, 0.285783
 210,   0.4485, 0.288934
 211,   0.4535, 0.286194
 212,   0.4535, 0.289817
 213,   0.4535, 0.292111
 214,   0.4535, 0.296991
 215,   0.4535, 0.297291
 216,   0.4535, 0.292773
 217,   0.4535, 0.295072
 218,   0.4535, 0.296769
 219,   0.4535, 0.294977
 220,   0.4535,  0.29399
 221,   0.4535, 0.295547
 222,   0.4535, 0.298795
 223,   0.4535, 0.299756
 224,   0.4851, 0.296653
 225,   0.4851, 0.293693
 226,   0.4851,  0.30404
 227,   0.4851, 0.297669
 228,   0.4851, 0.301019
 229,   0.4851, 0.300884
 230,   0.4851,  0.30515
 231,   0.4851, 0.296518
 232,   0.4851, 0.298894
 233,   0.4851, 0.304409
 234,   0.4851, 0.300828
 235,   0.4851, 0.296561
 236,   0.4851, 0.298552
 237,   0.4851, 0.303683
 238,   0.4851, 0.307943
 239,   0.4851, 0.305142
 240,   0.4851,  0.30469
 241,   0.4851, 0.308325
 242,   0.4851, 0.303057
 243,   0.4851, 0.302788
 244,   0.4851, 0.305951
 245,   0.4851, 0.311195
 246,   0.4851, 0.310276
 247,   0.4822, 0.306508
 248,   0.4822, 0.312912
 249,   0.4808, 0.311147
 250,   0.4808, 0.307039
 251,   0.4808, 0.317254
 252,   0.4808, 0.316099
 253,   0.4808, 0.314187
 254,   0.4808,  0.31709
 255,   0.4808, 0.316953
 256,   0.4808, 0.315307
 257,   0.4808, 0.310428
 258,   0.4808, 0.314002
 259,   0.4808, 0.316176
 260,   0.4808, 0.316253
 261,   0.4808, 0.317512
 262,   0.4808, 0.320924
 263,   0.4808, 0.321368
 264,   0.4808, 0.322736
 265,   0.4808, 0.319657
 266,   0.4808, 0.321804
 267,   0.4808, 0.321288
 268,   0.4808, 0.319449
 269,   0.5054, 0.327399
 270,   0.5054, 0.324156
 271,   0.5054, 0.328163
 272,   0.5054, 0.330981
 273,   0.5054,  0.33161
 274,   0.5054, 0.323689
 275,   0.5054, 0.322345
 276,   0.5054, 0.318229
 277,   0.5054, 0.321865
 278,   0.5054, 0.325029
 279,   0.5054, 0.323441
 280,   0.5054, 0.328611
 281,   0.5054, 0.325191
 282,   0.5559, 0.326719
 283,   0.5559, 0.330888
 284,   0.5559, 0.329316
 285,   0.5559, 0.330144
 286,   0.5559, 0.325004
 287,   0.5559, 0.331718
 288,   0.5559, 0.334329
 289,   0.5559, 0.333666
 290,   0.5559, 0.336472
 291,   0.5559, 0.336244
 292,   0.5559, 0.335332
 293,   0.5559, 0.340412
 294,   0.5559, 0.338578
 295,   0.5559, 0.342005
 296,   0.5559, 0.341653
 297,   0.5559, 0.338807
 298,   0.5559, 0.339295
 299,   0.5559, 0.343771
 300,   0.5559, 0.340896
 301,   0.5559, 0.340696
 302,   0.5559, 0.343209
 303,   0.5559, 0.341847
 304,   0.5559, 0.346664
 305,   0.5559, 0.348372
 306,   0.5559, 0.350809
 307,   0.5559, 0.349253
 308,   0.5559, 0.349817
 309,   0.5559, 0.353652
 310,   0.5559, 0.342914
 311,   0.5559, 0.344568
 312,   0.5559, 0.345971
 313,   0.5559,  0.35366
 314,   0.5559, 0.353834
 315,   0.5559, 0.351662
 316,   0.5559, 0.355226
 317,   0.5559, 0.351813
 318,   0.5559, 0.356546
 319,   0.5559, 0.357323
 320,   0.5559, 0.361667
 321,   0.5559, 0.353635
 322,   0.5559, 0.351375
 323,   0.5559, 0.358029
 324,   0.5559, 0.354263
 325,   0.5559, 0.360565
 326,   0.5559, 0.367833
 327,   0.5559, 0.365824
 328,   0.5559, 0.368933
 329,   0.5559, 0.371692
 330,   0.5559, 0.370628
 331,   0.5559, 0.371042
 332,   0.5559, 0.361537
 333,   0.5559, 0.368032
 334,   0.5559, 0.363979
 335,   0.5559, 0.370047
 336,   0.5559, 0.363534
 337,   0.5559,  0.36616
 338,   0.5559, 0.363183
 339,   0.5559, 0.361986
 340,   0.5559, 0.364234
 341,   0.5559, 0.367409
 342,   0.5559, 0.365662
 343,   0.5559, 0.363363
 344,   0.5559, 0.362103
 345,   0.5559,  0.35918
 346,   0.5559, 0.362875
 347,   0.5559, 0.364286
 348,   0.5559,  0.36583
 349,   0.5559,  0.36645
 350,   0.5559, 0.367668
 351,   0.5559,  0.36472
 352,   0.5559,  0.36996
 353,   0.5559, 0.368464
 354,   0.5559,  0.37077
 355,   0.5559, 0.373428
 356,   0.5559, 0.369485
 357,   0.5559, 0.365741
 358,   0.5559, 0.368856
 359,   0.5559, 0.370221
 360,   0.5559, 0.366123
 361,   0.5559, 0.366397
 362,   0.5559, 0.369415
 363,   0.5559,  0.36884
 364,   0.5559, 0.365539
 365,   0.5559, 0.374233
 366,   0.5559, 0.374057
 367,   0.5559, 0.374568
 368,   0.5559, 0.374039
 369,   0.5559, 0.365611
 370,   0.5559, 0.367207
 371,   0.5559, 0.368729
 372,   0.5559, 0.369732
 373,   0.5559, 0.370623
 374,   0.5559, 0.369516
 375,   0.5559, 0.372409
 376,   0.5559, 0.376312
 377,   0.5559, 0.377771
 378,   0.5559, 0.379401
 379,   0.5559, 0.380222
 380,   0.5559, 0.378494
 381,   0.5559, 0.374368
 382,   0.5559, 0.377827
 383,   0.5559, 0.373212
 384,   0.5497, 0.379924
 385,   0.5497, 0.376873
 386,   0.5497, 0.373508
 387,   0.5497, 0.373318
 388,   0.5497, 0.373299
 389,   0.5497, 0.380538
 390,   0.5497, 0.375887
 391,   0.5497, 0.381511
 392,   0.5703, 0.377591
 393,   0.5703, 0.378061
 394,   0.5703, 0.389498
 395,   0.5703,  0.38754
 396,   0.5703, 0.377416
 397,   0.5703, 0.374816
 398,   0.5703, 0.374832
 399,   0.5703, 0.374792
 400,   0.5703, 0.370836
 401,   0.5703, 0.375168
 402,   0.5703, 0.378615
 403,   0.5703,  0.38171
 404,   0.5703, 0.379994
 405,   0.5703, 0.385178
 406,   0.5703, 0.385911
 407,   0.5703,  0.38441
 408,   0.5703, 0.386187
 409,   0.5703, 0.385723
 410,   0.5703, 0.377068
 411,   0.5703, 0.376751
 412,   0.5703,  0.38166
 413,   0.5703, 0.388219
 414,   0.5703, 0.386863
 415,   0.5703, 0.386644
 416,   0.5703, 0.383613
 417,   0.5703, 0.384745
 418,   0.5703, 0.381086
 419,   0.5703,  0.38565
 420,   0.5703, 0.386346
