jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
 213,   0.5856, 0.485229
 214,   0.5856, 0.490538
 215,   0.5858,  0.48204
 216,   0.5858, 0.484966
 217,   0.5858, 0.482285
 218,   0.5858, 0.480543
 219,   0.5858, 0.482698
 220,   0.5902, 0.482307
 221,   0.5902, 0.482785
 222,   0.5902, 0.489074
 223,   0.5902,  0.49238
 224,   0.5902, 0.493481
 225,   0.5913, 0.488555
 226,   0.5913, 0.490514
 227,   0.5913, 0.487064
 228,   0.5913, 0.494182
 229,   0.5913, 0.495786
 230,   0.5913, 0.489958
 231,   0.5909, 0.494086
 232,   0.5917, 0.491892
 233,   0.5917, 0.489613
 234,    0.592, 0.495762
 235,    0.592, 0.494249
 236,    0.592, 0.494094
 237,   0.5916,  0.49251
 238,   0.5916, 0.495109
 239,   0.5916,  0.49951
 240,   0.5972, 0.489042
 241,   0.5972, 0.495157
 242,   0.5972, 0.499735
 243,   0.5953, 0.499079
 244,   0.5977, 0.493445
 245,   0.5977, 0.495579
 246,   0.5932, 0.496619
 247,   0.5932, 0.496617
 248,    0.596, 0.501871
 249,    0.596, 0.498102
 250,    0.596, 0.502721
 251,    0.596, 0.505483
 252,    0.596, 0.507389
 253,    0.596, 0.504038
 254,    0.596, 0.498521
 255,    0.596, 0.501702
 256,    0.596, 0.504781
 257,    0.596, 0.503411
 258,   0.5963, 0.505736
 259,   0.5963, 0.510798
 260,   0.5986, 0.508429
 261,   0.5956, 0.504071
 262,   0.5967, 0.505714
 263,   0.5967, 0.506242
 264,   0.5952, 0.508558
 265,   0.5952, 0.499519
 266,   0.5978, 0.501253
 267,   0.5997, 0.503981
 268,   0.5997, 0.502208
 269,   0.6028, 0.494428
 270,    0.595,  0.50487
 271,    0.595, 0.502738
 272,    0.595, 0.503227
 273,    0.595, 0.498064
 274,    0.595, 0.502115
 275,    0.595, 0.508258
 276,   0.6026, 0.503931
 277,   0.6026, 0.500439
 278,   0.5993, 0.494511
 279,   0.5993, 0.501496
 280,   0.5993, 0.510398
 281,   0.5993, 0.504793
 282,   0.5993,  0.50584
 283,   0.5993, 0.508593
 284,   0.5993, 0.507386
 285,   0.6027, 0.513533
 286,   0.6027, 0.505688
 287,   0.6027, 0.509482
 288,   0.6027, 0.509834
 289,   0.6031, 0.515423
 290,   0.6031, 0.514302
 291,   0.6031, 0.513534
 292,   0.6031, 0.505354
 293,   0.6031,  0.50551
 294,   0.6031, 0.508531
 295,   0.6105, 0.511728
 296,   0.6105, 0.515355
 297,   0.6105, 0.517299
 298,   0.6105, 0.515806
 299,   0.6084, 0.512158
 300,   0.6109, 0.509098
 301,   0.6109, 0.518192
 302,   0.6135, 0.523361
 303,   0.6144, 0.513748
 304,   0.6144, 0.510803
 305,   0.6144, 0.511419
 306,   0.6144, 0.504623
 307,   0.6202, 0.516469
 308,    0.624, 0.517225
 309,    0.624, 0.525588
