gen, ranking_scalar1_twopoint_best, ranking_scalar1_twopoint_ave
   1,   0.1505, 0.100111
   2,   0.2222, 0.100524
   3,   0.2443, 0.120803
   4,   0.2003, 0.123238
   5,   0.2794, 0.139455
   6,   0.3027, 0.151947
   7,   0.2522, 0.166689
   8,    0.272, 0.176266
   9,   0.3066, 0.192581
  10,   0.3066, 0.200749
  11,   0.3131, 0.217276
  12,   0.3256, 0.219575
  13,   0.3417, 0.235821
  14,   0.3374, 0.247793
  15,   0.3533, 0.269437
  16,   0.3524,   0.2817
  17,   0.3928, 0.287479
  18,   0.3928, 0.299766
  19,   0.3904, 0.308617
  20,   0.3904, 0.315212
  21,   0.4178, 0.328304
  22,   0.4041, 0.332071
  23,   0.4252, 0.335799
  24,   0.4242, 0.344804
  25,   0.4242,  0.34559
  26,   0.4399, 0.355291
  27,   0.4513,  0.36009
  28,   0.4513, 0.361375
  29,   0.4514, 0.370095
  30,   0.4648, 0.376577
  31,   0.4751, 0.386113
  32,   0.4751, 0.388629
  33,   0.4751, 0.398571
  34,   0.4787, 0.401374
  35,    0.486, 0.408413
  36,   0.4831, 0.413936
  37,   0.4831, 0.414729
  38,   0.4939, 0.426502
  39,   0.5019,  0.42954
  40,   0.5019, 0.435822
  41,   0.5019, 0.440443
  42,   0.4981, 0.446584
  43,   0.5036, 0.448851
  44,   0.5039, 0.446595
  45,   0.5097,  0.45114
  46,   0.5097, 0.455098
  47,    0.506, 0.456679
  48,    0.511, 0.458869
  49,   0.5103, 0.458335
  50,   0.5183, 0.462833
  51,   0.5079, 0.459899
  52,   0.5182, 0.466473
  53,    0.516, 0.464907
  54,   0.5571, 0.467598
  55,   0.5571,  0.46653
  56,   0.5575, 0.469934
  57,   0.5575, 0.471503
  58,   0.5713, 0.484621
  59,   0.5713, 0.488483
  60,   0.5661, 0.493648
  61,   0.5699, 0.492331
  62,    0.568, 0.493858
  63,    0.568,  0.50228
  64,   0.5677,  0.50238
  65,   0.5746, 0.499896
  66,   0.5756, 0.504229
  67,    0.581, 0.504178
  68,    0.581, 0.506486
  69,   0.5794, 0.507109
  70,    0.594, 0.513433
  71,    0.594, 0.510252
  72,    0.594, 0.514561
  73,    0.571, 0.514024
  74,   0.6059,  0.51552
  75,   0.5808, 0.513228
  76,   0.5808, 0.514908
  77,   0.5944, 0.519963
  78,   0.5968, 0.527214
  79,   0.5945, 0.528133
  80,   0.5997, 0.528241
  81,   0.5997, 0.530954
  82,   0.5847, 0.531065
  83,   0.6032, 0.534211
  84,   0.6081, 0.528194
  85,   0.6081, 0.532053
  86,   0.6094, 0.530236
  87,   0.6094, 0.528476
  88,   0.6094, 0.531885
  89,   0.6082, 0.539095
  90,   0.6203, 0.542116
  91,   0.6203, 0.545059
  92,   0.6225, 0.544894
  93,   0.6182,  0.54418
  94,   0.6259, 0.548303
  95,   0.6259, 0.547704
  96,    0.626,  0.54939
  97,    0.626, 0.546959
  98,   0.6331, 0.550407
  99,   0.6279, 0.546139
 100,   0.6279, 0.549491
 101,   0.6298, 0.556621
 102,   0.6298,  0.56019
 103,   0.6337, 0.557119
 104,   0.6244, 0.560354
 105,   0.6244, 0.561186
 106,   0.6154, 0.553959
 107,   0.6296,  0.55133
 108,   0.6296, 0.553443
 109,    0.625, 0.555221
 110,    0.625, 0.555991
 111,   0.6341, 0.549282
 112,   0.6304, 0.549939
 113,   0.6304, 0.555224
 114,   0.6344, 0.554191
 115,   0.6344, 0.554155
 116,   0.6429, 0.557131
 117,   0.6429,  0.55599
 118,   0.6325, 0.557987
 119,   0.6401,  0.56308
 120,   0.6401, 0.563512
 121,   0.6385,   0.5654
 122,   0.6385,  0.56448
 123,   0.6385, 0.569799
 124,   0.6385, 0.573638
 125,   0.6516, 0.568293
 126,   0.6516, 0.569767
 127,   0.6516, 0.569295
 128,   0.6406, 0.566747
 129,   0.6406,  0.56503
 130,   0.6575, 0.566927
 131,   0.6575, 0.574501
 132,   0.6575, 0.578912
 133,   0.6575, 0.570994
 134,   0.6479,  0.57501
 135,    0.651, 0.573154
 136,    0.651, 0.584131
 137,   0.6624, 0.584463
 138,   0.6683,  0.58364
 139,   0.6683, 0.581115
 140,    0.665, 0.585802
 141,    0.665, 0.589309
 142,   0.6578, 0.590832
 143,   0.6578, 0.598236
 144,   0.6629, 0.594587
 145,   0.6629, 0.596286
 146,   0.6629, 0.591672
 147,   0.6629, 0.591684
 148,   0.6613, 0.590989
 149,   0.6613, 0.591831
 150,   0.6613, 0.587884
 151,   0.6605, 0.575544
 152,   0.6605, 0.585293
 153,   0.6605, 0.581607
 154,   0.6584,   0.5823
 155,   0.6584, 0.581408
 156,   0.6584, 0.582354
 157,   0.6678, 0.590003
 158,   0.6678, 0.592078
 159,   0.6678,  0.59191
 160,   0.6734, 0.591791
 161,   0.6734,  0.59543
 162,   0.6734, 0.591174
 163,   0.6734,  0.59092
 164,   0.6731, 0.588216
 165,    0.671, 0.593044
 166,    0.671, 0.600671
 167,    0.671, 0.596885
 168,    0.671, 0.593385
 169,   0.6821,  0.59321
 170,   0.6821, 0.592633
 171,   0.6803, 0.589697
 172,   0.6803, 0.587783
 173,   0.6829, 0.595936
 174,   0.6794, 0.592189
 175,   0.6828, 0.598003
 176,   0.6828, 0.601821
 177,   0.6828, 0.596815
 178,   0.6829,  0.60397
 179,   0.6833, 0.605948
 180,   0.6834, 0.606057
 181,   0.6834, 0.603511
 182,   0.6794, 0.604758
 183,   0.6794, 0.599415
 184,   0.6794, 0.597862
 185,   0.6794, 0.598607
 186,   0.6794,  0.59802
 187,   0.6794, 0.594693
 188,   0.6962, 0.597999
 189,   0.6962, 0.600083
 190,   0.6962, 0.606776
 191,   0.6962, 0.602208
 192,   0.6962, 0.606826
 193,   0.6962, 0.603014
 194,   0.6915, 0.606748
 195,   0.6915, 0.608959
 196,   0.7043, 0.607391
 197,   0.7043, 0.613868
 198,   0.7043, 0.617926
 199,   0.7043, 0.610237
 200,   0.7058, 0.615488
 201,   0.7058, 0.618838
 202,   0.7058, 0.624153
 203,   0.6963, 0.621801
 204,   0.6963, 0.620753
 205,    0.704, 0.617918
 206,    0.704, 0.624301
 207,    0.704, 0.625045
 208,    0.704, 0.625443
 209,    0.704,  0.62639
 210,   0.7099, 0.624005
 211,   0.7099,  0.62426
 212,   0.6943, 0.627055
 213,   0.7018,    0.626
 214,   0.7018, 0.619114
 215,   0.7018, 0.621201
 216,   0.7008, 0.622846
 217,   0.7008, 0.621239
 218,   0.7101, 0.619254
 219,   0.7101, 0.618512
 220,   0.7003, 0.617716
 221,   0.7096, 0.614426
 222,   0.7096, 0.619993
 223,   0.7096, 0.627793
 224,   0.7096, 0.618841
 225,   0.6955, 0.616976
 226,   0.6955, 0.613142
 227,   0.7102, 0.609318
 228,   0.7102, 0.609937
 229,   0.7102, 0.608096
 230,   0.7102, 0.608851
 231,   0.7102, 0.616442
 232,   0.6984, 0.615965
 233,   0.7161, 0.612953
 234,   0.7013, 0.616046
 235,   0.7013, 0.620459
 236,   0.7013, 0.623031
 237,   0.6949, 0.630121
 238,   0.6949, 0.619191
 239,   0.6928, 0.618831
 240,   0.6928, 0.614871
 241,   0.6928, 0.615683
 242,   0.7175,  0.61348
 243,   0.7044, 0.613548
 244,   0.6991, 0.613013
 245,   0.6991, 0.601088
 246,   0.6991, 0.604984
 247,   0.6991, 0.601769
 248,   0.6991, 0.605564
 249,   0.7245,  0.60597
 250,   0.7245, 0.610201
 251,   0.7245, 0.610786
 252,   0.7245, 0.617189
 253,   0.7136, 0.615234
 254,   0.7136, 0.611825
 255,   0.7136, 0.621847
 256,   0.7136, 0.619591
 257,   0.7136, 0.620313
 258,   0.7136,  0.62654
 259,   0.7074, 0.628343
 260,   0.7074, 0.628417
 261,   0.7074, 0.624887
 262,   0.7188, 0.623691
 263,   0.7188, 0.623219
 264,    0.715, 0.614786
 265,    0.715, 0.623321
 266,    0.715, 0.625429
 267,    0.702, 0.626589
 268,    0.702, 0.627672
 269,   0.7177, 0.621465
 270,   0.7177, 0.619479
 271,   0.7177,  0.62664
 272,   0.7177, 0.619573
 273,   0.7177, 0.617696
 274,   0.7177, 0.616172
 275,   0.7133, 0.618881
 276,   0.7062, 0.616337
 277,   0.7113, 0.611039
 278,   0.7009,  0.61561
 279,   0.7009, 0.627037
 280,   0.7009, 0.621167
 281,   0.7009, 0.618517
 282,   0.7009, 0.622397
 283,    0.689, 0.625075
 284,    0.689, 0.625965
 285,    0.689,  0.62395
 286,   0.6965, 0.617899
 287,   0.6965, 0.609038
 288,   0.6965, 0.604824
 289,   0.6965, 0.603934
 290,   0.6965, 0.607458
 291,   0.6965, 0.604892
 292,   0.6965, 0.606677
 293,   0.6965, 0.611298
 294,   0.6965, 0.612404
 295,   0.7135, 0.616271
 296,   0.7135, 0.616861
 297,   0.7146, 0.620255
 298,   0.7146, 0.613761
 299,   0.7147, 0.613681
 300,   0.7147, 0.611985
 301,   0.7147, 0.620086
 302,   0.7147, 0.624342
 303,   0.7147, 0.624811
 304,   0.7147, 0.622213
 305,   0.7154, 0.625206
 306,   0.7154, 0.621842
 307,   0.7154, 0.625647
 308,   0.7174, 0.628547
 309,   0.7174, 0.622494
 310,   0.7186, 0.620593
 311,   0.7186, 0.624149
 312,   0.7173, 0.626658
 313,   0.7246, 0.628779
 314,   0.7246, 0.632305
 315,   0.7246, 0.626194
 316,   0.7246, 0.627138
 317,   0.7246, 0.624958
 318,   0.7246, 0.621501
 319,   0.7238, 0.629232
 320,   0.7238, 0.627599
 321,   0.7211,  0.62763
 322,   0.7211, 0.637994
 323,   0.7211, 0.632846
 324,   0.7211, 0.631599
 325,   0.7211, 0.632021
 326,   0.7211, 0.625489
 327,   0.7211, 0.627136
 328,   0.7211, 0.626434
 329,   0.7211, 0.628266
 330,   0.7211, 0.622746
 331,   0.7211, 0.627338
 332,   0.7211, 0.632264
