gen, ranking_scalar1_uniform_best, ranking_scalar1_uniform_ave
 212,   0.5757,  0.51578
 213,   0.5712, 0.513748
 214,   0.5712, 0.519298
 215,   0.5712, 0.516607
 216,   0.5708, 0.515822
 217,   0.5708, 0.514534
 218,   0.5708, 0.511852
 219,   0.5768, 0.515497
 220,   0.5746, 0.519867
 221,   0.5746, 0.521981
 222,   0.5758, 0.520263
 223,   0.5782, 0.515371
 224,   0.5827, 0.517676
 225,   0.5827, 0.520188
 226,   0.5753, 0.520057
 227,   0.5699, 0.521695
 228,   0.5866, 0.520799
 229,   0.5866, 0.519805
 230,   0.5866, 0.518642
 231,   0.5866, 0.513571
 232,   0.5866, 0.514832
 233,   0.5685, 0.519234
 234,   0.5685, 0.519611
 235,    0.567, 0.515276
 236,    0.567, 0.514968
 237,   0.5752,  0.51852
 238,   0.5752, 0.518168
 239,   0.5819, 0.516398
 240,   0.5721,  0.51896
 241,    0.563, 0.520158
 242,    0.563, 0.515785
 243,   0.5662, 0.518277
 244,   0.5662, 0.517485
 245,   0.5784, 0.517317
 246,    0.575, 0.510647
 247,   0.5807, 0.512573
 248,   0.5807, 0.512482
 249,   0.5807, 0.511752
 250,   0.5872, 0.512571
 251,   0.5872, 0.513721
 252,   0.5756, 0.514923
 253,   0.5756, 0.514271
 254,   0.5756, 0.515751
 255,   0.5758, 0.516952
 256,   0.5758, 0.512849
 257,   0.5758, 0.517025
 258,   0.5906, 0.518233
 259,   0.5906, 0.520799
 260,   0.5906, 0.518707
 261,   0.5906, 0.517284
 262,   0.5919, 0.520029
 263,   0.5803, 0.519362
 264,   0.5915, 0.523417
 265,   0.5915, 0.522172
 266,   0.5915, 0.526342
 267,   0.5915, 0.528965
 268,   0.5915, 0.524731
 269,   0.5915, 0.526252
 270,   0.5915, 0.529966
 271,   0.5915, 0.531661
 272,   0.5915, 0.531707
 273,   0.5793, 0.526902
 274,   0.5793, 0.524072
 275,   0.5774, 0.525742
 276,   0.5774, 0.528405
 277,   0.5774, 0.526425
 278,   0.5774, 0.522593
 279,   0.5786, 0.521204
 280,   0.5786, 0.521682
 281,   0.5786, 0.520964
 282,   0.5786, 0.521472
 283,   0.5786, 0.520447
 284,   0.5786, 0.523558
 285,   0.5845, 0.525666
 286,   0.5845,  0.52112
 287,   0.5845,  0.52581
 288,   0.5899, 0.527391
 289,   0.5899, 0.526569
 290,   0.5899, 0.531948
 291,   0.5899, 0.529773
 292,   0.5866,  0.52626
 293,   0.5866, 0.526708
 294,   0.5866, 0.529212
 295,   0.5828, 0.527742
 296,   0.5891, 0.528183
 297,   0.5891, 0.529467
 298,   0.5891, 0.530095
 299,   0.5891, 0.528365
 300,   0.5894, 0.520334
 301,   0.5894, 0.521635
 302,   0.5894,  0.52093
 303,   0.5894, 0.526155
 304,   0.5894, 0.527156
 305,   0.5894, 0.528245
 306,   0.5904, 0.522677
 307,   0.5904, 0.529829
 308,   0.5904, 0.527437
 309,   0.5904, 0.521596
 310,   0.5904, 0.521305
 311,   0.5904, 0.525487
 312,   0.5904, 0.525748
 313,   0.5919, 0.528871
 314,   0.5919, 0.524006
 315,   0.5919, 0.527039
 316,   0.5919, 0.522327
 317,   0.5919, 0.522964
 318,   0.5919, 0.525836
 319,   0.5919, 0.524644
 320,   0.5919, 0.533585
 321,   0.5919, 0.532252
 322,   0.5859, 0.530983
 323,   0.5859, 0.528355
 324,   0.5859, 0.526923
 325,   0.5859, 0.530687
 326,   0.5859,   0.5288
 327,   0.5859, 0.530573
 328,   0.5859, 0.530434
 329,   0.5928,  0.53108
 330,   0.5928, 0.530871
 331,   0.5918, 0.533078
 332,   0.5918, 0.534992
 333,   0.5918, 0.534531
 334,   0.5918, 0.532608
 335,   0.5917, 0.534862
 336,   0.5917,  0.53458
 337,   0.5917, 0.535366
 338,   0.5917, 0.528775
 339,   0.5917, 0.527325
 340,   0.5917, 0.529251
 341,   0.5917, 0.531764
 342,   0.5917, 0.530348
 343,   0.5917, 0.531577
 344,   0.5917, 0.528329
 345,   0.5917,  0.52923
 346,   0.5917, 0.524489
 347,   0.5917, 0.529101
 348,   0.5917,  0.53018
 349,   0.5917, 0.524572
 350,   0.5818, 0.530978
 351,   0.5911, 0.526295
 352,   0.5918, 0.529206
 353,   0.5918, 0.530261
 354,   0.5918, 0.531983
 355,   0.5918, 0.533355
 356,   0.5918, 0.531289
 357,   0.5874, 0.528014
 358,   0.5874, 0.525607
 359,   0.5874, 0.531106
 360,   0.5874,  0.53183
 361,   0.5874, 0.528306
 362,   0.5805, 0.530715
 363,   0.5805, 0.534182
 364,   0.5805, 0.531933
 365,   0.5805,  0.52825
 366,   0.5805, 0.525006
 367,   0.5847, 0.527192
 368,   0.5847, 0.527425
 369,   0.5847,  0.52678
 370,   0.5847, 0.525966
 371,   0.5847, 0.526708
 372,   0.5847, 0.523567
 373,   0.5847, 0.521052
 374,   0.5847, 0.519433
 375,   0.5898, 0.520058
 376,   0.5898, 0.524785
 377,   0.5898, 0.524656
 378,   0.5898, 0.525374
 379,   0.5898, 0.529238
 380,   0.5941, 0.532119
 381,   0.5882, 0.531158
 382,   0.5882, 0.526157
 383,   0.5882,  0.52803
 384,   0.5882, 0.530949
 385,   0.5882, 0.531277
 386,   0.5882, 0.529988
 387,   0.5882, 0.528616
 388,   0.5882, 0.526471
 389,   0.5833, 0.525542
 390,   0.5833, 0.532751
 391,   0.5833, 0.527083
 392,   0.5833,  0.52503
 393,   0.5833, 0.527094
 394,   0.5833, 0.528606
 395,   0.5833, 0.532223
 396,   0.5833, 0.532402
 397,   0.5833, 0.527933
 398,   0.5833, 0.529858
 399,   0.5833, 0.528723
 400,   0.5864, 0.523408
 401,   0.5864, 0.526691
 402,   0.5864, 0.532319
 403,   0.5864, 0.529974
 404,   0.5864, 0.529052
 405,   0.5864, 0.524854
 406,   0.5864, 0.524065
 407,   0.5864, 0.526576
 408,   0.5864, 0.521338
 409,   0.5864, 0.523072
 410,   0.5941, 0.522914
 411,   0.5941, 0.526445
 412,   0.5941, 0.527059
 413,   0.5941, 0.529775
 414,   0.5941, 0.527417
 415,   0.5884, 0.529141
 416,   0.5884, 0.527296
 417,   0.5884, 0.531207
 418,   0.5884, 0.531324
 419,   0.5884, 0.532673
 420,   0.5884, 0.533532
 421,   0.5809, 0.533406
 422,   0.5902, 0.529101
 423,   0.5902, 0.530774
 424,   0.5883, 0.530965
 425,   0.5883, 0.531424
 426,   0.5926, 0.529659
 427,   0.5926, 0.530218
 428,   0.5835, 0.526526
 429,   0.5835, 0.527395
 430,   0.5835, 0.529314
 431,   0.5835,  0.53098
 432,   0.5919, 0.529155
 433,   0.5869, 0.530411
 434,   0.5874, 0.529456
 435,   0.5874, 0.529871
 436,   0.5874, 0.529894
 437,   0.5956, 0.529903
 438,   0.5956, 0.533551
 439,   0.5992, 0.532698
 440,   0.5904, 0.531748
 441,   0.5904,  0.53274
 442,   0.5904, 0.538097
 443,   0.5967, 0.539122
 444,   0.5967, 0.539144
 445,   0.5967, 0.537959
 446,   0.5967,  0.53596
 447,   0.5967, 0.537079
 448,   0.5967, 0.541088
 449,   0.5967, 0.538867
 450,   0.5967, 0.539831
 451,   0.5967, 0.542645
 452,   0.5967, 0.542004
 453,   0.5967, 0.543676
 454,   0.5967, 0.539114
 455,   0.5967, 0.541247
 456,   0.5967,  0.53859
 457,   0.5967, 0.540017
 458,   0.5967, 0.537029
 459,   0.5911,   0.5399
 460,   0.5931, 0.540229
 461,   0.5931, 0.538702
 462,   0.5931, 0.537965
 463,   0.5931, 0.539031
 464,   0.5931, 0.531292
 465,   0.5931, 0.532643
 466,   0.5931, 0.534574
 467,   0.5931, 0.538131
 468,   0.5909, 0.532432
 469,   0.5909, 0.535437
 470,   0.5909, 0.533435
 471,   0.5909, 0.531412
 472,   0.5909, 0.531926
 473,    0.591, 0.537142
 474,   0.5888, 0.536887
 475,   0.5888, 0.533269
 476,   0.5888, 0.537781
 477,   0.5888, 0.534594
 478,   0.5888, 0.541087
 479,   0.5888, 0.533937
 480,   0.5888,  0.53721
 481,   0.5888, 0.530851
 482,   0.5888, 0.532511
 483,   0.5888, 0.539011
 484,   0.5888, 0.535215
 485,   0.5888, 0.532378
 486,   0.5939, 0.531291
 487,   0.5956, 0.532861
 488,   0.5956,  0.53394
 489,   0.5956, 0.532252
 490,   0.5877, 0.533258
 491,   0.5877, 0.532818
 492,   0.5877, 0.530909
 493,   0.5877, 0.524813
 494,    0.595,  0.52799
 495,    0.595, 0.527654
 496,    0.595, 0.532992
 497,    0.595, 0.531456
 498,    0.595, 0.530472
 499,    0.595, 0.530508
 500,    0.595,  0.53379
 501,    0.595, 0.533741
 502,    0.595, 0.539738
 503,    0.595, 0.537941
 504,    0.595, 0.536831
 505,    0.595, 0.538042
 506,    0.595, 0.539435
 507,    0.595, 0.541739
