gen, ranking_scalar1_onepoint_best, ranking_scalar1_onepoint_ave
   1,   0.1505, 0.100111
   2,   0.1854, 0.109231
   3,   0.1854, 0.114757
   4,   0.2029, 0.124253
   5,   0.2029, 0.131219
   6,   0.2094, 0.148307
   7,   0.2165, 0.152675
   8,   0.2923, 0.168624
   9,      0.3, 0.178744
  10,   0.2998, 0.187353
  11,   0.2998, 0.196612
  12,   0.2947, 0.215158
  13,   0.3222, 0.226517
  14,   0.3372, 0.249093
  15,   0.3293, 0.256833
  16,   0.3774, 0.273284
  17,   0.3774, 0.289715
  18,    0.391, 0.303088
  19,    0.391,   0.3072
  20,   0.3863, 0.317531
  21,   0.3928, 0.322951
  22,   0.4104, 0.340928
  23,   0.4104, 0.350756
  24,   0.4076, 0.358047
  25,   0.4257, 0.356901
  26,   0.4257, 0.360504
  27,   0.4305, 0.372137
  28,   0.4311,  0.37946
  29,   0.4451, 0.386476
  30,   0.4433, 0.383306
  31,   0.4433, 0.388826
  32,   0.4423,  0.39434
  33,   0.4423, 0.393679
  34,   0.4469,   0.4045
  35,   0.4467, 0.409841
  36,   0.4467, 0.411158
  37,   0.4502, 0.410214
  38,    0.463, 0.411606
  39,    0.463, 0.410978
  40,    0.461, 0.410611
  41,   0.4519, 0.414131
  42,   0.4611,  0.41728
  43,   0.4635, 0.421613
  44,   0.4564, 0.417272
  45,   0.4564, 0.419205
  46,   0.4652, 0.419293
  47,   0.4662,  0.42226
  48,   0.4666, 0.426539
  49,   0.4666, 0.423352
  50,   0.4511, 0.427955
  51,   0.4679, 0.425526
  52,   0.4523, 0.427826
  53,   0.4523, 0.426672
  54,   0.4601, 0.422085
  55,    0.465, 0.420965
  56,    0.465, 0.423411
  57,   0.4741, 0.424224
  58,   0.4573,  0.42455
  59,   0.4573, 0.424667
  60,    0.463, 0.421357
  61,   0.4771, 0.419257
  62,   0.4651, 0.417046
  63,   0.4651,  0.41533
  64,   0.4728, 0.415073
  65,   0.4592, 0.421023
  66,   0.4601,  0.41991
  67,   0.4691, 0.420419
  68,   0.4663, 0.419003
  69,   0.4719, 0.420592
  70,   0.4719, 0.420604
  71,   0.4649, 0.424969
  72,   0.4712, 0.427131
  73,   0.4585, 0.426734
  74,   0.4738,  0.42821
  75,   0.4796, 0.426264
  76,   0.4796, 0.429718
  77,   0.4843, 0.430335
  78,   0.4892, 0.431008
  79,   0.4892, 0.435328
  80,   0.4928,  0.43875
  81,   0.4912, 0.444974
  82,   0.4912, 0.446561
  83,   0.4968, 0.446564
  84,   0.4871, 0.446921
  85,   0.5125,  0.44966
  86,   0.5125, 0.446253
  87,   0.5125,  0.44795
  88,   0.5151, 0.448231
  89,   0.5076, 0.449273
  90,   0.5124, 0.453015
  91,   0.5124, 0.456171
  92,   0.5144, 0.457673
  93,   0.5067,  0.46018
  94,   0.5067, 0.464606
  95,   0.5229, 0.464321
  96,   0.5183, 0.463207
  97,   0.5183, 0.467014
  98,   0.5183, 0.462494
  99,   0.5211, 0.472656
 100,   0.5211, 0.469622
 101,   0.5211, 0.471835
 102,   0.5334,  0.47387
 103,   0.5334, 0.473623
 104,   0.5301, 0.477378
 105,   0.5297, 0.477951
 106,   0.5329, 0.481952
 107,   0.5329, 0.483153
 108,   0.5329, 0.483701
 109,   0.5329, 0.487744
 110,   0.5282, 0.485177
 111,   0.5386, 0.485159
 112,   0.5194, 0.480892
 113,   0.5194,  0.48073
 114,   0.5167,  0.48095
 115,   0.5167,  0.47911
 116,   0.5263, 0.479687
 117,   0.5263, 0.479718
 118,   0.5263, 0.478911
 119,   0.5278, 0.479358
 120,   0.5278, 0.480805
 121,   0.5278, 0.479789
 122,   0.5278, 0.473744
 123,   0.5241, 0.477349
 124,   0.5241, 0.477268
 125,   0.5241, 0.477612
 126,   0.5237, 0.473873
 127,   0.5231, 0.476774
 128,   0.5333, 0.474228
 129,   0.5235, 0.478123
 130,   0.5235, 0.473886
 131,   0.5267, 0.471882
 132,   0.5267, 0.472831
 133,   0.5215, 0.477572
 134,   0.5215,  0.47969
 135,   0.5215, 0.479311
 136,   0.5215, 0.479923
 137,   0.5179, 0.475474
 138,   0.5179, 0.474903
 139,   0.5278, 0.474766
 140,   0.5278, 0.476037
 141,   0.5278, 0.477033
 142,   0.5278, 0.478441
 143,   0.5331, 0.477215
 144,   0.5331, 0.480668
 145,   0.5271, 0.479545
 146,   0.5271, 0.484165
 147,   0.5345, 0.478965
 148,   0.5345, 0.474626
 149,   0.5345, 0.478787
 150,   0.5345, 0.479083
 151,   0.5361, 0.476781
 152,   0.5361, 0.481877
 153,   0.5361, 0.481547
 154,   0.5455, 0.481046
 155,   0.5455, 0.477208
 156,   0.5455, 0.482747
 157,   0.5375, 0.480839
 158,   0.5375, 0.481699
 159,   0.5298, 0.480946
 160,   0.5489, 0.480842
 161,   0.5512, 0.473458
 162,   0.5588, 0.476995
 163,   0.5633, 0.478175
 164,   0.5633, 0.483224
 165,   0.5956, 0.482248
 166,   0.5956,  0.48647
 167,   0.5956, 0.489603
 168,   0.5846, 0.495567
 169,   0.5933, 0.502737
 170,   0.5933,  0.51249
 171,   0.6046, 0.514997
 172,   0.6046, 0.519253
 173,   0.6046, 0.519155
 174,    0.598, 0.515261
 175,    0.598, 0.518789
 176,   0.6028, 0.525232
 177,   0.6028, 0.536856
 178,   0.6028, 0.539151
 179,   0.6028, 0.534375
 180,    0.609, 0.525748
 181,    0.609, 0.528663
 182,   0.6162, 0.534776
 183,   0.6162, 0.532722
 184,   0.6162, 0.537741
 185,   0.6106, 0.537063
 186,   0.6106,  0.53851
 187,   0.6239, 0.542566
 188,   0.6239, 0.536677
 189,   0.6239,    0.537
 190,   0.6239, 0.535015
 191,   0.6261, 0.540025
 192,   0.6182, 0.537512
 193,   0.6182, 0.533615
 194,   0.6182, 0.539741
 195,   0.6182, 0.535183
 196,   0.6281, 0.534496
 197,   0.6281,  0.53285
 198,   0.6166, 0.531462
 199,   0.6166, 0.538013
 200,   0.6166, 0.533988
 201,   0.6296, 0.537257
 202,   0.6296, 0.534833
 203,    0.637, 0.540371
 204,    0.637, 0.543294
 205,    0.637, 0.548569
 206,   0.6446, 0.552008
 207,   0.6446, 0.550504
 208,   0.6446, 0.553181
 209,   0.6488, 0.558902
 210,   0.6488, 0.561005
 211,   0.6465, 0.557236
 212,   0.6465, 0.555767
 213,   0.6465, 0.568066
 214,   0.6492,   0.5711
 215,   0.6501,  0.56755
 216,   0.6562,  0.56692
 217,   0.6663, 0.566742
 218,   0.6663, 0.568974
 219,   0.6663, 0.567202
 220,   0.6663, 0.566144
 221,   0.6663, 0.573847
 222,   0.6697, 0.576885
 223,   0.6579,  0.57712
 224,   0.6579, 0.573478
 225,   0.6579, 0.574302
 226,   0.6579, 0.570916
 227,   0.6579, 0.575624
 228,   0.6765, 0.576505
 229,   0.6811, 0.580151
 230,   0.6811, 0.571667
 231,   0.6811, 0.582527
 232,   0.6873,  0.58419
 233,   0.6873,  0.57771
 234,   0.6768, 0.583177
 235,   0.6768, 0.583061
 236,   0.6768, 0.588096
 237,   0.6768,   0.5848
 238,   0.6768, 0.577905
 239,   0.6768, 0.578254
 240,   0.6768,  0.58207
 241,   0.6843, 0.586601
 242,    0.686, 0.590679
 243,    0.686, 0.589701
 244,   0.6768, 0.588814
 245,   0.6768, 0.592742
 246,   0.6768, 0.586676
 247,   0.6909, 0.589094
 248,   0.6909, 0.592875
 249,   0.6909, 0.597556
 250,   0.6909, 0.589642
 251,   0.6909, 0.588081
 252,   0.6909, 0.579636
 253,   0.6909, 0.592837
 254,   0.6909, 0.595702
 255,   0.6909,  0.59526
 256,   0.6758, 0.590648
 257,   0.6758, 0.591146
 258,   0.6758, 0.596981
 259,   0.6758, 0.590484
 260,    0.676, 0.595936
 261,    0.676, 0.596222
 262,    0.676, 0.596498
 263,    0.676, 0.595958
 264,    0.676, 0.588935
 265,    0.676, 0.588275
 266,   0.6836, 0.594975
 267,   0.6836, 0.590314
 268,   0.6836, 0.593602
 269,   0.6836, 0.590232
 270,   0.6836, 0.586473
 271,   0.6836, 0.585855
 272,   0.6782, 0.592282
 273,   0.6782, 0.592607
 274,   0.6782, 0.594203
 275,   0.6782, 0.588819
 276,   0.6782, 0.593629
 277,   0.6796, 0.603893
 278,   0.6796, 0.605835
 279,   0.6796, 0.602113
 280,   0.6796, 0.599517
 281,   0.6796, 0.606538
 282,    0.679,  0.60454
 283,   0.6857, 0.600649
 284,   0.6857, 0.601285
 285,   0.6857, 0.600955
 286,   0.6857, 0.600023
 287,   0.6857, 0.606267
 288,   0.6857, 0.611163
 289,   0.7012,  0.61112
 290,   0.7012, 0.609457
 291,   0.7012,  0.60406
 292,   0.7012, 0.608227
 293,   0.7012, 0.608926
 294,   0.7012, 0.608042
 295,   0.7012, 0.602997
 296,   0.7012, 0.607511
 297,   0.7012, 0.611268
 298,   0.7012, 0.612279
 299,   0.7012, 0.609071
 300,    0.702, 0.607401
 301,    0.702,  0.60339
 302,    0.702, 0.607611
 303,    0.702, 0.605996
 304,   0.6928, 0.609704
