gen, ranking_scalar3_uniform_best, ranking_scalar3_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105682
   3,   0.2356, 0.112686
   4,   0.2421, 0.117278
   5,   0.2421,  0.12264
   6,   0.2421, 0.122636
   7,    0.263, 0.126572
   8,    0.263, 0.131794
   9,   0.2845, 0.130412
  10,   0.2963, 0.141915
  11,   0.2936, 0.150071
  12,   0.2936, 0.155619
  13,   0.3063, 0.167793
  14,   0.3276, 0.174304
  15,   0.3317, 0.192705
  16,   0.3515, 0.198853
  17,   0.3777, 0.216916
  18,   0.3926,  0.22978
  19,   0.3988, 0.248052
  20,   0.3988, 0.261664
  21,    0.412, 0.277418
  22,    0.412, 0.282946
  23,   0.4287, 0.288873
  24,   0.4407, 0.296975
  25,   0.4407,  0.31298
  26,   0.4412, 0.330271
  27,   0.4435, 0.330799
  28,   0.4698, 0.338785
  29,   0.4698, 0.341219
  30,   0.4698, 0.353021
  31,   0.4698, 0.361024
  32,    0.481, 0.363491
  33,   0.4849, 0.364537
  34,   0.5002, 0.375739
  35,   0.5002, 0.376228
  36,    0.511, 0.382238
  37,   0.5132, 0.389499
  38,   0.5132, 0.397046
  39,   0.5242, 0.394782
  40,   0.5377, 0.402487
  41,   0.5611, 0.406089
  42,   0.5611, 0.409559
  43,   0.5611, 0.417916
  44,   0.5611, 0.420148
  45,   0.5611, 0.434018
  46,   0.5691, 0.446621
  47,   0.5691, 0.447321
  48,   0.5758, 0.452129
  49,   0.5826, 0.461388
  50,   0.5826, 0.464318
  51,   0.5826, 0.470113
  52,     0.59, 0.476523
  53,   0.5906, 0.472918
  54,   0.5906, 0.477056
  55,   0.5979, 0.479358
  56,   0.6002, 0.481401
  57,   0.6002, 0.485829
  58,   0.6008,  0.48801
  59,   0.6008, 0.491425
  60,   0.6008, 0.492859
  61,   0.6077, 0.496948
  62,   0.6077, 0.501435
  63,   0.6168, 0.499615
  64,   0.6168, 0.500674
  65,   0.6168,  0.50184
  66,   0.6253, 0.503694
  67,   0.6253, 0.508845
  68,   0.6253, 0.518864
  69,   0.6352, 0.515881
  70,   0.6352, 0.510765
  71,   0.6352, 0.512097
  72,   0.6352, 0.523333
  73,   0.6352, 0.523601
  74,   0.6352,  0.52537
  75,   0.6352, 0.522004
  76,   0.6352, 0.520208
  77,   0.6352, 0.525412
  78,   0.6365,  0.52234
  79,   0.6365, 0.525909
  80,   0.6365, 0.526937
  81,   0.6365, 0.527657
  82,   0.6365,  0.53365
  83,   0.6402, 0.523033
  84,   0.6402, 0.524675
  85,   0.6404, 0.524318
  86,   0.6435, 0.529693
  87,   0.6435, 0.532574
  88,   0.6435, 0.530396
  89,   0.6444, 0.532335
  90,   0.6444, 0.535104
  91,   0.6444, 0.537888
  92,   0.6444, 0.530915
  93,   0.6439, 0.540154
  94,   0.6439, 0.539991
  95,   0.6439, 0.536806
  96,   0.6439, 0.541589
  97,   0.6451, 0.539776
  98,   0.6461, 0.548298
  99,   0.6461, 0.541083
 100,   0.6451,   0.5368
 101,   0.6462, 0.540094
 102,   0.6462,  0.54332
 103,   0.6462,  0.53993
 104,   0.6462,  0.54288
 105,   0.6462, 0.541488
 106,   0.6495, 0.546361
 107,   0.6495,  0.54735
 108,   0.6495, 0.546761
 109,   0.6535, 0.546508
 110,   0.6535, 0.549222
 111,   0.6535, 0.546928
 112,   0.6535, 0.545067
 113,   0.6535,  0.55043
 114,   0.6516, 0.550518
 115,   0.6516, 0.552002
 116,   0.6516, 0.541882
 117,   0.6545, 0.543693
 118,   0.6545,  0.54646
 119,   0.6545, 0.547658
 120,   0.6557, 0.551877
 121,    0.654,  0.55262
 122,    0.654, 0.540825
 123,   0.6554,  0.54232
 124,   0.6554, 0.548285
 125,    0.657, 0.552314
 126,    0.657, 0.556431
 127,   0.6606, 0.550313
 128,   0.6606, 0.548741
 129,   0.6606, 0.553962
 130,   0.6606, 0.557755
 131,   0.6617, 0.554142
 132,   0.6617, 0.554744
 133,   0.6617, 0.553111
 134,   0.6617, 0.550174
 135,   0.6617, 0.550222
 136,   0.6617, 0.553719
 137,   0.6617,  0.54984
 138,   0.6617, 0.549701
 139,   0.6617, 0.544821
 140,   0.6617,  0.55138
 141,   0.6617, 0.551262
 142,   0.6617,  0.55672
 143,   0.6617, 0.550757
 144,   0.6617, 0.555978
 145,   0.6657, 0.556035
 146,   0.6657, 0.546305
 147,   0.6657, 0.563786
 148,   0.6657, 0.558193
 149,   0.6657, 0.559161
 150,   0.6657, 0.564614
 151,   0.6657, 0.562519
 152,   0.6657, 0.555314
 153,   0.6657, 0.560887
 154,   0.6657, 0.561842
 155,   0.6657, 0.563143
 156,   0.6648, 0.564289
 157,   0.6648, 0.562493
 158,   0.6666, 0.564596
 159,   0.6666, 0.560976
 160,   0.6666, 0.568758
 161,   0.6666, 0.562451
 162,   0.6666, 0.560924
 163,   0.6666, 0.557458
 164,   0.6666, 0.559138
 165,   0.6666,  0.56294
 166,   0.6666, 0.569888
 167,    0.667, 0.574387
 168,    0.667, 0.567248
 169,    0.667, 0.564773
 170,    0.667, 0.560569
 171,    0.667, 0.566043
 172,   0.6668, 0.564968
 173,   0.6668, 0.565938
 174,   0.6668, 0.558172
 175,   0.6651, 0.560465
 176,   0.6651, 0.563179
 177,   0.6651, 0.561889
 178,   0.6675, 0.559177
 179,   0.6675, 0.561287
 180,   0.6665, 0.560094
 181,   0.6693, 0.562137
 182,   0.6693,  0.56234
 183,   0.6705, 0.565045
 184,   0.6705, 0.567583
 185,   0.6705,  0.56249
 186,   0.6705,  0.56285
 187,   0.6705, 0.556932
 188,   0.6705, 0.557928
 189,   0.6689, 0.559874
 190,   0.6689, 0.556185
 191,   0.6689, 0.565563
 192,   0.6689, 0.554673
 193,   0.6689, 0.559967
 194,   0.6689, 0.552046
 195,   0.6689, 0.559703
 196,   0.6689, 0.560731
 197,   0.6686, 0.569052
 198,   0.6686, 0.559925
 199,   0.6695, 0.568933
 200,   0.6701, 0.560033
 201,   0.6701, 0.562368
 202,   0.6701, 0.559474
 203,   0.6701, 0.564143
 204,   0.6701, 0.556781
 205,   0.6704, 0.559542
 206,   0.6709, 0.563805
 207,   0.6709, 0.564228
 208,   0.6709, 0.554838
 209,   0.6709, 0.557986
 210,   0.6709, 0.565218
 211,   0.6709, 0.560513
 212,   0.6709, 0.563774
 213,   0.6709, 0.556992
 214,   0.6702, 0.561943
 215,   0.6702,  0.56375
 216,   0.6738,  0.56741
 217,   0.6738,    0.563
 218,   0.6738, 0.558291
 219,   0.6738, 0.557951
 220,   0.6738, 0.568151
 221,   0.6738, 0.570351
 222,   0.6738, 0.563628
 223,   0.6738, 0.558531
 224,   0.6738, 0.565227
 225,   0.6738, 0.562416
 226,   0.6738, 0.566951
 227,   0.6726, 0.561284
 228,   0.6741,  0.56461
 229,   0.6744, 0.560711
 230,   0.6744,  0.56018
 231,   0.6744, 0.561526
 232,   0.6756, 0.568117
 233,   0.6756, 0.569641
 234,   0.6756, 0.571293
 235,   0.6756, 0.559317
 236,   0.6762, 0.562355
 237,   0.6762, 0.566617
 238,   0.6762, 0.564667
 239,   0.6762, 0.567092
 240,   0.6762, 0.571478
 241,   0.6762, 0.572137
 242,   0.6762, 0.572969
 243,   0.6762,   0.5737
 244,   0.6762, 0.570969
 245,   0.6762, 0.571284
 246,   0.6762, 0.566257
 247,   0.6755, 0.571086
 248,   0.6792, 0.572604
 249,   0.6792, 0.577075
 250,   0.6792, 0.575238
 251,   0.6792, 0.567074
 252,   0.6792, 0.568837
 253,   0.6792,  0.56592
 254,   0.6792, 0.564956
 255,   0.6788, 0.570638
 256,   0.6788, 0.563936
 257,   0.6788, 0.566266
 258,   0.6788, 0.570655
 259,   0.6788, 0.574339
 260,   0.6801, 0.576201
 261,   0.6801, 0.569727
 262,   0.6801, 0.576833
 263,   0.6801, 0.572382
 264,   0.6801, 0.581218
 265,   0.6795, 0.576227
 266,   0.6795, 0.577951
 267,   0.6795, 0.576992
 268,   0.6795, 0.570616
 269,   0.6797,  0.57158
 270,   0.6797, 0.577013
 271,   0.6797, 0.575934
 272,   0.6797,  0.57647
 273,   0.6797, 0.574768
 274,   0.6818, 0.570339
 275,   0.6818, 0.570388
 276,   0.6818, 0.579146
 277,   0.6818, 0.574515
 278,   0.6818, 0.572767
 279,   0.6818, 0.571718
 280,   0.6818, 0.569842
 281,   0.6818, 0.577186
 282,   0.6818, 0.571464
 283,   0.6818, 0.570194
 284,   0.6807, 0.576026
 285,   0.6807, 0.579223
 286,   0.6807, 0.575002
 287,   0.6807, 0.579277
 288,   0.6807, 0.575004
 289,   0.6817, 0.576447
 290,   0.6817, 0.592084
 291,   0.6817, 0.578773
 292,   0.6817, 0.579233
 293,   0.6817, 0.577423
 294,   0.6815, 0.577524
 295,   0.6815, 0.579118
 296,   0.6815, 0.578389
 297,   0.6828, 0.574915
 298,   0.6828, 0.578051
 299,   0.6828,  0.58416
 300,   0.6809, 0.580908
 301,   0.6809, 0.573494
 302,   0.6809,  0.57677
 303,   0.6809, 0.579686
 304,   0.6809,  0.57876
 305,   0.6809, 0.577754
 306,   0.6809, 0.583171
 307,   0.6831,  0.58571
 308,   0.6831, 0.581159
 309,   0.6831, 0.574886
 310,   0.6831, 0.574724
 311,   0.6831, 0.582716
 312,   0.6831, 0.584484
 313,   0.6832, 0.579593
 314,   0.6832, 0.576689
 315,   0.6832, 0.578675
 316,   0.6832, 0.580471
 317,   0.6832, 0.577535
 318,   0.6832, 0.579703
 319,   0.6816, 0.581856
 320,   0.6816,  0.57634
 321,   0.6826, 0.582778
 322,   0.6826, 0.585135
 323,   0.6826,  0.58102
 324,   0.6826, 0.577998
 325,   0.6826, 0.581905
 326,   0.6826, 0.581746
 327,   0.6826,  0.58291
 328,   0.6826, 0.578372
 329,   0.6826, 0.582472
 330,   0.6826, 0.581632
 331,   0.6826, 0.577509
 332,   0.6826, 0.583951
 333,   0.6826, 0.579994
 334,   0.6826, 0.577163
 335,   0.6828, 0.580661
 336,   0.6828, 0.582859
 337,   0.6828, 0.579413
 338,   0.6828, 0.575783
 339,   0.6818, 0.580318
 340,   0.6818, 0.585102
 341,   0.6818, 0.581805
 342,   0.6818, 0.585952
 343,   0.6864,  0.57856
 344,   0.6864, 0.579815
 345,   0.6864, 0.582605
 346,   0.6864,  0.58016
 347,   0.6864, 0.586858
 348,   0.6864, 0.582529
 349,   0.6864, 0.577555
 350,   0.6864, 0.581867
 351,   0.6864, 0.578873
 352,   0.6864, 0.582899
 353,   0.6864, 0.581859
 354,   0.6864, 0.582835
 355,   0.6864, 0.591066
 356,   0.6864, 0.590011
 357,   0.6864, 0.583851
 358,   0.6864,  0.57903
 359,   0.6864, 0.581511
 360,   0.6864, 0.584007
 361,   0.6864,  0.57905
 362,   0.6917, 0.580886
 363,   0.6917, 0.583173
 364,   0.6917, 0.583017
 365,   0.6917,  0.58693
 366,   0.6917, 0.587488
 367,   0.6917, 0.584799
 368,   0.6909,  0.59107
 369,   0.6909, 0.585571
 370,   0.6909, 0.589623
 371,   0.6909, 0.592156
 372,   0.6909, 0.592583
 373,   0.6909, 0.593198
 374,   0.6907, 0.591287
 375,   0.6907, 0.588485
 376,   0.6907,  0.58667
 377,   0.6907, 0.583916
 378,   0.6907, 0.591078
 379,   0.6907, 0.593762
 380,   0.6922, 0.599231
 381,   0.6922, 0.594953
 382,   0.6919, 0.588871
 383,   0.6919, 0.587244
 384,   0.6919, 0.594591
 385,   0.6919, 0.595032
 386,   0.6919, 0.593336
 387,   0.6919, 0.593673
 388,   0.6919,  0.59423
 389,   0.6919, 0.590447
 390,   0.6919, 0.599582
 391,   0.6919, 0.592609
 392,   0.6919, 0.592193
 393,   0.6926, 0.586646
 394,   0.6926,  0.58377
 395,   0.6926, 0.588565
 396,   0.6926, 0.592182
 397,   0.6927, 0.598759
 398,   0.6927, 0.594787
 399,   0.6964, 0.595936
 400,   0.6964, 0.584409
 401,   0.6964, 0.593671
 402,   0.6964, 0.597824
 403,   0.6964, 0.596692
 404,   0.6964, 0.596467
 405,   0.6964,  0.60168
 406,   0.6964, 0.598301
 407,   0.6964,  0.59656
 408,   0.6964, 0.598942
 409,   0.6964, 0.592297
 410,   0.6964, 0.596205
 411,   0.6964, 0.595448
 412,   0.6964, 0.593404
 413,   0.6964, 0.593293
 414,   0.6964, 0.591932
 415,   0.6964, 0.594981
 416,   0.6964, 0.594209
 417,   0.6964, 0.595592
 418,   0.6964, 0.594657
 419,   0.6964, 0.602311
 420,   0.6964, 0.594142
 421,   0.6961, 0.599788
 422,   0.6961, 0.592607
 423,   0.6961, 0.597346
 424,   0.6961, 0.602289
 425,   0.6961, 0.597816
 426,    0.696, 0.596691
 427,    0.696,  0.59142
 428,    0.696, 0.599158
 429,    0.696, 0.597646
 430,    0.696, 0.599138
 431,    0.696, 0.598342
 432,    0.696,   0.5968
 433,    0.696, 0.601556
 434,    0.696,  0.59587
 435,    0.696, 0.600521
 436,    0.696, 0.602135
 437,    0.696, 0.599829
 438,    0.696, 0.600537
 439,   0.6974,  0.60134
 440,   0.6974, 0.599697
 441,   0.6974, 0.608524
 442,   0.6974, 0.600999
 443,   0.6974, 0.596197
 444,   0.6974,  0.59531
 445,    0.698, 0.598816
 446,    0.698, 0.598836
 447,    0.698, 0.600455
 448,    0.698, 0.598989
 449,    0.698, 0.604194
 450,    0.698, 0.600326
 451,    0.698,   0.6006
 452,   0.6964, 0.603628
 453,   0.6964, 0.605698
 454,   0.6964,  0.60467
 455,   0.6964, 0.605888
 456,   0.6964, 0.607472
 457,   0.6964, 0.597417
 458,   0.6964, 0.599271
 459,   0.6964, 0.611668
 460,   0.6993, 0.608594
 461,   0.6993,  0.60029
 462,   0.6993, 0.599978
 463,    0.696, 0.602504
 464,    0.696, 0.597524
 465,   0.6986, 0.603011
 466,   0.6986, 0.603709
 467,   0.6986, 0.602463
 468,   0.6985, 0.603252
 469,   0.6985,  0.60718
 470,   0.6985, 0.601203
 471,   0.6985, 0.596469
 472,   0.6985, 0.602407
 473,   0.7009, 0.606504
 474,   0.7009, 0.603755
 475,   0.7009, 0.601706
 476,   0.7009, 0.601336
 477,   0.7009, 0.598077
 478,   0.7009, 0.601779
 479,   0.7009, 0.603748
 480,   0.7009, 0.600957
 481,   0.7009, 0.596578
 482,   0.7009, 0.599454
 483,   0.7009, 0.603077
 484,   0.7009, 0.608306
 485,   0.7009, 0.599636
 486,   0.7009, 0.604062
 487,   0.7009, 0.597168
 488,   0.7009, 0.598318
 489,   0.7009, 0.605805
 490,   0.7004, 0.592374
 491,   0.7004,  0.60192
 492,   0.7004, 0.601274
 493,   0.7004, 0.592018
 494,   0.7004, 0.592443
 495,   0.7004, 0.598309
 496,   0.7004, 0.602607
 497,   0.7004, 0.600586
 498,   0.7004,  0.59936
 499,   0.7004, 0.591349
 500,   0.7004, 0.597814
 501,   0.7004, 0.598603
 502,   0.7004, 0.600776
 503,   0.7004, 0.601878
 504,   0.7004, 0.601928
 505,   0.7004,  0.60227
 506,   0.7004, 0.603623
 507,   0.7004, 0.602694
 508,   0.7004, 0.600006
 509,   0.7004, 0.597885
 510,   0.7004, 0.606127
 511,   0.7004, 0.609053
 512,   0.7004, 0.601633
 513,   0.7004, 0.602814
 514,   0.7004,  0.60384
 515,   0.7004, 0.604111
 516,   0.7004, 0.608709
 517,   0.7004, 0.611887
 518,   0.7004, 0.600667
 519,   0.7004, 0.603967
 520,   0.7004, 0.598526
 521,   0.7004, 0.600946
 522,   0.7004, 0.608009
 523,   0.7004,  0.59149
 524,   0.7004, 0.597457
 525,   0.7004, 0.594274
 526,   0.7004, 0.603987
 527,   0.7004, 0.613033
 528,   0.7004, 0.611422
 529,   0.7004, 0.603567
 530,   0.6996, 0.607652
 531,   0.6996, 0.606215
 532,   0.6996, 0.597268
 533,   0.6996, 0.603517
 534,   0.7025, 0.602912
 535,   0.7025, 0.601036
 536,   0.7025, 0.605509
 537,   0.7025, 0.606202
 538,   0.7025, 0.600468
 539,   0.7025, 0.602577
 540,   0.7014, 0.602238
 541,   0.7041, 0.612193
 542,   0.7041, 0.602823
 543,   0.7041, 0.605497
 544,   0.7041, 0.607025
 545,   0.7041, 0.601836
 546,   0.7041, 0.613792
 547,   0.7041, 0.612777
 548,   0.7041, 0.611674
 549,   0.7041, 0.601607
