gen, tournament_scalar3_onepoint_best, tournament_scalar3_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261,  0.10499
   3,   0.2565, 0.149888
   4,   0.2584, 0.196951
   5,    0.263, 0.218409
   6,   0.2688, 0.229429
   7,   0.2747, 0.235621
   8,   0.2777,  0.23895
   9,   0.2895, 0.249227
  10,   0.2924, 0.250385
  11,   0.3076, 0.264325
  12,   0.3076, 0.257019
  13,   0.3125, 0.265278
  14,   0.3125, 0.266977
  15,   0.3173, 0.256351
  16,   0.3138, 0.262437
  17,   0.3486, 0.278558
  18,   0.3486, 0.271581
  19,    0.389, 0.298468
  20,   0.3974, 0.311644
  21,    0.417, 0.331467
  22,    0.417, 0.342198
  23,   0.4189, 0.347762
  24,   0.4207, 0.353019
  25,   0.4317, 0.361583
  26,   0.4294, 0.363887
  27,   0.4387, 0.375637
  28,   0.4477,  0.36644
  29,   0.4497, 0.378793
  30,   0.4658, 0.394042
  31,   0.4658, 0.394199
  32,   0.4723, 0.404559
  33,   0.4736, 0.405381
  34,   0.4787, 0.407993
  35,   0.4782, 0.413901
  36,   0.4847, 0.418961
  37,   0.4847, 0.412805
  38,   0.4847, 0.426013
  39,   0.4908, 0.425586
  40,   0.4908, 0.422431
  41,   0.4958, 0.431865
  42,   0.4983,  0.43417
  43,   0.4983, 0.431937
  44,   0.5043, 0.436675
  45,   0.5051, 0.436435
  46,   0.5073, 0.447255
  47,   0.5073, 0.439418
  48,   0.5105, 0.446067
  49,   0.5105, 0.448518
  50,   0.5105, 0.450307
  51,   0.5153, 0.453542
  52,   0.5151, 0.458128
  53,   0.5195, 0.462351
  54,   0.5195, 0.458052
  55,   0.5195,  0.45614
  56,   0.5199,  0.46019
  57,   0.5199, 0.461422
  58,   0.5257, 0.463605
  59,   0.5257,  0.47207
  60,   0.5293, 0.470673
  61,   0.5293, 0.470674
  62,   0.5303, 0.473426
  63,   0.5303,  0.47418
  64,   0.5346, 0.474943
  65,   0.5388, 0.477403
  66,   0.5388, 0.480449
  67,     0.54, 0.475513
  68,   0.5414, 0.476929
  69,   0.5414, 0.483095
  70,   0.5417, 0.482255
  71,    0.542, 0.483606
  72,    0.542, 0.482898
  73,   0.5453, 0.486032
  74,   0.5453, 0.485883
  75,   0.5453, 0.486142
  76,   0.5472, 0.490593
  77,   0.5493, 0.489904
  78,   0.5493, 0.488111
  79,   0.5494,   0.4907
  80,   0.5512, 0.493264
  81,   0.5512, 0.497066
  82,   0.5512, 0.494638
  83,   0.5512, 0.489838
  84,   0.5512, 0.493034
  85,   0.5512, 0.489451
  86,   0.5512, 0.499465
  87,   0.5524, 0.493704
  88,   0.5524, 0.489449
  89,   0.5528, 0.487984
  90,   0.5528, 0.492912
  91,   0.5528, 0.499279
  92,   0.5528, 0.496791
  93,   0.5531, 0.498018
  94,   0.5538, 0.495202
  95,   0.5538, 0.497374
  96,   0.5545, 0.497824
  97,   0.5545, 0.501713
  98,   0.5545, 0.496621
  99,   0.5545, 0.494531
 100,   0.5546, 0.503708
 101,   0.5546, 0.506026
 102,   0.5546, 0.497703
 103,   0.5543, 0.500726
 104,   0.5543, 0.501075
 105,   0.5556, 0.500415
 106,   0.5556, 0.502507
 107,   0.5558, 0.504193
 108,   0.5558, 0.505085
 109,   0.5558,  0.50153
 110,   0.5558, 0.505957
 111,    0.559, 0.502884
 112,    0.559, 0.506817
 113,   0.5601, 0.507109
 114,   0.5601, 0.508014
 115,   0.5616, 0.507394
 116,   0.5616, 0.506697
 117,   0.5616, 0.511136
 118,   0.5616, 0.508564
 119,   0.5616, 0.509165
 120,   0.5637, 0.507241
 121,   0.5637, 0.508007
 122,   0.5665, 0.510697
 123,   0.5665,  0.51286
 124,   0.5665, 0.508109
 125,   0.5665, 0.512493
 126,   0.5665, 0.514873
 127,   0.5672, 0.512923
 128,   0.5672, 0.510783
 129,   0.5688, 0.511972
 130,   0.5701, 0.512324
 131,   0.5701, 0.518142
 132,   0.5701, 0.509885
 133,   0.5701,  0.51493
 134,   0.5701, 0.516056
 135,   0.5701, 0.514207
 136,   0.5701, 0.515451
 137,   0.5733, 0.514156
 138,   0.5733, 0.517522
 139,   0.5731, 0.501143
 140,   0.5751, 0.509414
 141,   0.5773, 0.512171
 142,   0.5798, 0.516829
 143,   0.5798, 0.521949
 144,   0.5798, 0.524785
 145,   0.5814,  0.52724
 146,   0.5814, 0.526003
 147,    0.589, 0.522353
 148,   0.5917, 0.526295
 149,   0.6034, 0.532481
 150,   0.6034, 0.534645
 151,   0.6026, 0.540521
 152,   0.6095, 0.544886
 153,   0.6157, 0.543331
 154,    0.626, 0.546864
 155,    0.626, 0.539645
 156,   0.6387, 0.556001
 157,   0.6387, 0.561294
 158,   0.6395, 0.570653
 159,   0.6456, 0.572622
 160,   0.6457, 0.570243
 161,   0.6554, 0.577039
 162,   0.6554, 0.572765
 163,   0.6554, 0.579264
 164,    0.654, 0.581083
 165,    0.654, 0.581357
 166,   0.6553, 0.581751
 167,   0.6553, 0.585362
 168,   0.6577, 0.592803
 169,   0.6577, 0.591039
 170,   0.6577, 0.585701
 171,   0.6577, 0.587737
 172,   0.6595, 0.586827
 173,   0.6605, 0.583975
 174,   0.6605,  0.58549
 175,   0.6709, 0.581182
 176,   0.6709, 0.592214
 177,   0.6709, 0.589018
 178,   0.6709,  0.59177
 179,   0.6709, 0.590487
 180,   0.6709, 0.590939
 181,   0.6709, 0.594901
 182,   0.6709, 0.590601
 183,   0.6709, 0.592597
 184,   0.6709, 0.594223
 185,   0.6718, 0.591237
 186,   0.6727, 0.603366
 187,   0.6727, 0.600186
 188,   0.6727, 0.598706
 189,   0.6727, 0.593927
 190,   0.6727, 0.591135
 191,    0.675, 0.598538
 192,    0.675, 0.605259
 193,    0.675, 0.600322
 194,    0.675, 0.605444
 195,    0.675,  0.61367
 196,    0.675, 0.605747
 197,   0.6786,  0.61031
 198,   0.6786, 0.602312
 199,   0.6779,  0.60757
 200,   0.6773, 0.606934
 201,   0.6773, 0.611328
 202,   0.6773, 0.613819
 203,   0.6773, 0.609497
 204,   0.6773, 0.607299
 205,   0.6773, 0.606816
 206,   0.6773,  0.60061
 207,   0.6773, 0.607949
 208,   0.6773, 0.611381
 209,   0.6797, 0.606945
 210,   0.6797, 0.610143
 211,   0.6797, 0.608683
 212,   0.6797,  0.61324
 213,   0.6797, 0.608521
 214,   0.6808, 0.608746
 215,   0.6808, 0.612549
 216,   0.6808,  0.60767
 217,   0.6808, 0.605465
 218,   0.6808, 0.608725
 219,   0.6808, 0.610519
 220,   0.6808, 0.608303
 221,   0.6808, 0.611238
 222,   0.6808, 0.608868
 223,   0.6808, 0.608033
 224,   0.6808,  0.61016
 225,   0.6808, 0.610067
 226,   0.6808, 0.612915
 227,   0.6808, 0.618375
 228,   0.6808, 0.615065
 229,   0.6808, 0.609693
 230,   0.6808, 0.613003
 231,   0.6808, 0.615541
 232,   0.6808, 0.610041
 233,   0.6808, 0.610435
 234,   0.6808, 0.610946
 235,   0.6808, 0.608208
 236,   0.6808, 0.613411
 237,   0.6814, 0.611866
 238,   0.6814, 0.611334
 239,   0.6814, 0.611258
 240,   0.6814, 0.617819
 241,   0.6832, 0.619797
 242,   0.6832, 0.616863
 243,   0.6807, 0.616619
 244,   0.6807, 0.617687
 245,   0.6834, 0.613002
 246,   0.6834, 0.621665
 247,   0.6834, 0.618579
 248,   0.6834, 0.614944
 249,   0.6834,  0.61854
 250,   0.6834, 0.614143
 251,   0.6834, 0.616641
 252,   0.6834, 0.619473
 253,   0.6834, 0.619045
 254,   0.6834, 0.616611
 255,   0.6834, 0.617367
 256,   0.6839, 0.618473
 257,   0.6839, 0.615902
 258,   0.6839, 0.613834
 259,   0.6836, 0.617272
 260,   0.6857,  0.61628
 261,   0.6857, 0.616778
 262,   0.6859, 0.620974
 263,   0.6859, 0.616548
 264,   0.6856, 0.614052
 265,   0.6856, 0.611685
 266,   0.6856,  0.61843
 267,   0.6872, 0.622664
 268,   0.6872, 0.619531
 269,   0.6872, 0.620492
 270,   0.6872, 0.617678
 271,   0.6872, 0.614619
 272,   0.6872, 0.624608
 273,   0.6872, 0.622483
 274,   0.6872, 0.615197
 275,   0.6872, 0.621747
 276,   0.6872, 0.617909
 277,   0.6882, 0.619866
 278,   0.6882, 0.616965
 279,   0.6882, 0.622215
 280,   0.6882, 0.616411
 281,   0.6882, 0.626628
 282,   0.6882, 0.621099
 283,   0.6882, 0.624081
 284,   0.6882, 0.623864
 285,   0.6861, 0.620901
 286,   0.6861, 0.621117
 287,   0.6861, 0.621603
 288,   0.6861, 0.625624
 289,   0.6861, 0.616475
 290,   0.6861, 0.619864
 291,   0.6861, 0.622774
 292,   0.6884, 0.619685
 293,   0.6884, 0.613601
 294,   0.6884, 0.615243
 295,   0.6884, 0.619404
 296,   0.6884, 0.624528
 297,   0.6884, 0.623145
 298,   0.6884, 0.622985
 299,   0.6884, 0.620892
 300,   0.6884, 0.619007
 301,   0.6884, 0.616773
 302,   0.6884, 0.620256
 303,   0.6884, 0.624995
 304,   0.6884, 0.621518
 305,   0.6884, 0.624282
 306,   0.6884, 0.619843
 307,   0.6884, 0.615099
 308,   0.6884, 0.620822
 309,   0.6884, 0.620287
 310,   0.6884, 0.626917
 311,   0.6884, 0.619266
 312,   0.6884, 0.619887
 313,   0.6884, 0.622434
 314,   0.6884, 0.615414
 315,   0.6884, 0.618091
 316,   0.6884, 0.620394
 317,    0.688, 0.617241
 318,    0.688, 0.621497
 319,    0.688, 0.621131
 320,    0.688, 0.622697
 321,    0.688, 0.624864
 322,    0.688, 0.619873
 323,    0.688, 0.620168
 324,    0.688, 0.618291
 325,    0.688, 0.617846
 326,    0.688,  0.62197
 327,    0.688, 0.617943
 328,    0.688, 0.623734
 329,    0.688, 0.623078
 330,    0.688, 0.617465
 331,    0.688,  0.61986
 332,    0.688, 0.618035
 333,    0.688, 0.618459
 334,    0.688, 0.622639
 335,    0.688, 0.620591
 336,   0.6892, 0.615843
 337,   0.6892, 0.627819
 338,   0.6892, 0.617886
 339,   0.6892, 0.617823
 340,   0.6878, 0.624436
 341,   0.6878, 0.622287
 342,   0.6878, 0.620384
 343,   0.6878, 0.621699
 344,   0.6878, 0.627219
 345,   0.6878, 0.619159
 346,   0.6878, 0.622969
 347,   0.6878, 0.621165
 348,   0.6878,  0.62687
 349,   0.6878, 0.627388
 350,   0.6878, 0.624746
 351,   0.6878, 0.621705
 352,   0.6878, 0.626692
 353,   0.6883, 0.619566
 354,   0.6883, 0.619735
 355,   0.6883, 0.623952
 356,     0.69,  0.61535
 357,     0.69, 0.623385
 358,     0.69, 0.623464
 359,     0.69, 0.624941
 360,     0.69, 0.629162
 361,     0.69, 0.624627
 362,     0.69, 0.626286
 363,     0.69, 0.626375
 364,     0.69,  0.62095
 365,     0.69, 0.624912
 366,     0.69,  0.62241
 367,     0.69, 0.622372
 368,     0.69, 0.626834
 369,     0.69, 0.626446
 370,     0.69, 0.622553
 371,     0.69, 0.617767
 372,     0.69, 0.620989
 373,     0.69, 0.627315
 374,     0.69, 0.630505
 375,     0.69, 0.628446
 376,     0.69, 0.624898
 377,     0.69,    0.624
 378,     0.69, 0.622839
 379,     0.69, 0.625401
 380,     0.69, 0.627564
 381,     0.69, 0.624258
 382,     0.69, 0.628642
 383,     0.69, 0.627836
 384,   0.6924, 0.628661
 385,   0.6924, 0.626958
 386,   0.6924, 0.626146
 387,   0.6924,   0.6257
 388,   0.6924, 0.630187
 389,    0.694, 0.632681
 390,    0.694, 0.630707
 391,    0.694, 0.628196
 392,    0.694,  0.62957
 393,    0.694, 0.626911
 394,   0.6943,  0.62742
 395,   0.6933, 0.629027
 396,   0.6933, 0.630054
 397,   0.6933,  0.63022
 398,   0.6933, 0.630215
 399,   0.6933,  0.63238
 400,   0.6942,  0.62866
 401,   0.6942, 0.629035
 402,   0.6926, 0.627173
 403,   0.6946, 0.631652
 404,   0.6946, 0.629004
 405,   0.6946, 0.627117
 406,   0.6946, 0.635833
 407,   0.6946, 0.635234
 408,   0.6946, 0.632841
 409,   0.6952, 0.633666
 410,   0.6969, 0.635293
 411,   0.6969,  0.63541
 412,   0.6969, 0.636211
 413,    0.697, 0.633399
 414,   0.7003, 0.633793
 415,   0.7003, 0.630476
 416,   0.7003, 0.631289
 417,   0.6999,  0.63808
 418,   0.6999, 0.633198
 419,   0.6999, 0.637514
 420,   0.6999,  0.63805
 421,   0.6999, 0.633342
 422,   0.6999, 0.637402
 423,   0.6999, 0.635426
 424,   0.7003, 0.642428
 425,   0.7011, 0.635632
 426,   0.7011, 0.637895
 427,   0.7011, 0.635941
 428,   0.7011, 0.639802
 429,   0.7011, 0.638448
 430,   0.7011, 0.634875
 431,   0.7011,  0.63858
 432,   0.7011, 0.634968
 433,   0.7011, 0.640864
 434,   0.7025, 0.638284
 435,   0.7025, 0.636144
 436,   0.7025, 0.638618
 437,   0.7025, 0.637774
 438,   0.7025, 0.640711
 439,   0.7025, 0.642721
 440,   0.7025, 0.642697
 441,   0.7025, 0.644269
 442,   0.7025,  0.64029
 443,   0.7025, 0.640487
 444,   0.7025, 0.640047
 445,   0.7025, 0.644246
 446,   0.7025, 0.638719
 447,   0.7025, 0.637306
 448,   0.7025, 0.642181
 449,   0.7025, 0.640452
 450,   0.7025, 0.638192
 451,   0.7025, 0.646377
 452,   0.7025, 0.645181
 453,   0.7025, 0.642058
 454,    0.705, 0.644119
 455,    0.705, 0.644059
 456,    0.705, 0.635647
 457,    0.705, 0.643163
 458,    0.705,   0.6373
 459,    0.705, 0.640719
 460,    0.705, 0.641199
 461,    0.705, 0.645762
 462,   0.7056, 0.641366
 463,   0.7056, 0.641021
 464,   0.7056, 0.636344
 465,   0.7056, 0.639473
 466,   0.7056, 0.641629
 467,   0.7056, 0.639969
 468,   0.7056, 0.639756
 469,   0.7056, 0.638117
 470,   0.7053, 0.640017
 471,   0.7076, 0.646198
 472,   0.7076, 0.643466
 473,   0.7124, 0.645355
 474,   0.7124, 0.641889
 475,   0.7124, 0.644112
 476,   0.7124, 0.638936
 477,   0.7124, 0.643921
 478,   0.7124, 0.642635
 479,   0.7124, 0.637625
 480,   0.7124, 0.643018
 481,   0.7131, 0.642142
 482,   0.7131, 0.644849
 483,   0.7131, 0.641383
 484,    0.717, 0.638012
 485,    0.717, 0.641084
 486,   0.7163, 0.652817
 487,   0.7272, 0.648537
 488,   0.7272, 0.649374
 489,   0.7272, 0.652066
 490,   0.7272, 0.654887
 491,   0.7272, 0.648659
 492,   0.7272, 0.655532
 493,   0.7291, 0.656244
 494,   0.7291, 0.656703
 495,   0.7318, 0.651627
 496,   0.7318, 0.655032
 497,   0.7318, 0.652135
 498,   0.7318, 0.655391
 499,   0.7318, 0.653938
 500,   0.7318, 0.653259
 501,   0.7318, 0.654504
 502,   0.7318, 0.656507
 503,   0.7318, 0.654816
 504,   0.7318, 0.659645
 505,   0.7318, 0.653561
 506,   0.7318, 0.650264
 507,   0.7318, 0.652506
 508,   0.7318, 0.654984
 509,   0.7318, 0.656638
 510,    0.733, 0.659526
 511,    0.733, 0.665927
 512,    0.733, 0.653346
 513,    0.733, 0.660052
 514,    0.733, 0.652158
 515,    0.733,  0.65428
 516,    0.733, 0.652407
 517,    0.733, 0.651735
 518,    0.733, 0.655701
 519,    0.733, 0.656997
 520,   0.7319, 0.656941
 521,   0.7319, 0.658768
 522,   0.7319, 0.652707
 523,   0.7319, 0.653692
 524,   0.7338,  0.65644
 525,   0.7338, 0.655886
 526,   0.7338, 0.653108
 527,   0.7338, 0.654979
 528,   0.7338, 0.654287
 529,   0.7341, 0.656784
 530,   0.7348, 0.655997
 531,   0.7348, 0.660044
 532,   0.7348, 0.653376
 533,   0.7348, 0.651692
 534,   0.7348, 0.650245
 535,   0.7348, 0.654049
