gen, tournament_scalar3_uniform_best, tournament_scalar3_uniform_ave
 213,   0.7458, 0.692162
 214,   0.7504, 0.692848
 215,   0.7504, 0.686035
 216,   0.7504, 0.689304
 217,   0.7504,  0.69401
 218,   0.7504, 0.690543
 219,   0.7504, 0.691204
 220,   0.7504, 0.692572
 221,   0.7532, 0.694556
 222,   0.7532, 0.688971
 223,   0.7535, 0.694149
 224,   0.7535, 0.697589
 225,   0.7535, 0.697607
 226,   0.7535, 0.695554
 227,   0.7553, 0.691727
 228,   0.7553,  0.69023
 229,   0.7553, 0.694135
 230,   0.7553, 0.693956
 231,   0.7553, 0.698979
 232,   0.7553, 0.701302
 233,   0.7553, 0.697156
 234,   0.7553,  0.69671
 235,   0.7553, 0.697957
 236,   0.7553, 0.700868
 237,   0.7553, 0.699456
 238,   0.7553, 0.697577
 239,   0.7553, 0.696671
 240,   0.7553, 0.700377
 241,   0.7553, 0.698132
 242,   0.7553,   0.7002
 243,   0.7553, 0.699743
 244,   0.7553, 0.699237
 245,   0.7553, 0.698931
 246,   0.7562, 0.698306
 247,   0.7562, 0.696803
 248,   0.7562, 0.698237
 249,   0.7562, 0.698987
 250,   0.7561, 0.702322
 251,   0.7561, 0.696971
 252,   0.7561, 0.689781
 253,   0.7561, 0.698855
 254,   0.7561, 0.696307
 255,   0.7574,  0.69764
 256,   0.7574, 0.698224
 257,   0.7574, 0.697376
 258,   0.7574, 0.698541
 259,   0.7574, 0.693684
 260,   0.7574, 0.700674
 261,   0.7574, 0.703421
 262,   0.7574, 0.701744
 263,   0.7574, 0.700273
 264,   0.7574, 0.696733
 265,   0.7574, 0.691679
 266,   0.7574,   0.6982
 267,   0.7574,  0.69894
 268,   0.7578, 0.698098
 269,   0.7573, 0.695846
 270,   0.7573, 0.695367
 271,   0.7573,  0.69905
 272,   0.7573, 0.699082
 273,   0.7573, 0.699697
 274,   0.7573, 0.696494
 275,   0.7573, 0.698396
 276,   0.7573, 0.697106
 277,   0.7573, 0.702264
 278,   0.7573, 0.700906
 279,   0.7573, 0.695971
 280,   0.7573, 0.696288
 281,   0.7573, 0.699726
 282,   0.7573,  0.70032
 283,   0.7573, 0.697722
 284,   0.7567, 0.696068
 285,   0.7567, 0.693083
 286,   0.7567, 0.695508
 287,   0.7567, 0.698903
 288,   0.7567, 0.692349
 289,   0.7567, 0.700111
 290,   0.7567, 0.699778
 291,   0.7567, 0.700716
 292,   0.7567, 0.695485
 293,   0.7567, 0.699055
 294,   0.7567,  0.70109
 295,   0.7567, 0.698861
 296,   0.7567, 0.703611
 297,   0.7567, 0.696667
 298,   0.7572, 0.698007
 299,   0.7572, 0.696724
 300,   0.7572, 0.697498
 301,   0.7572, 0.700028
 302,   0.7572, 0.698629
 303,   0.7572,  0.69628
 304,   0.7572,  0.69742
 305,   0.7572, 0.698498
 306,   0.7579,  0.69219
 307,   0.7579, 0.695763
 308,   0.7579, 0.696347
 309,   0.7579, 0.699524
 310,   0.7579, 0.701148
 311,   0.7579, 0.695997
