gen, tournament_scalar1_uniform_best, tournament_scalar1_uniform_ave
   1,   0.1505, 0.100111
   2,   0.2461, 0.100938
   3,   0.1594, 0.107778
   4,   0.2673,  0.11976
   5,   0.2673, 0.117676
   6,   0.2592, 0.143996
   7,   0.2329, 0.181718
   8,   0.2978, 0.198681
   9,   0.2651, 0.188392
  10,   0.3004, 0.223999
  11,   0.3332,  0.22041
  12,   0.3859, 0.243457
  13,   0.3859, 0.255742
  14,   0.4103, 0.280434
  15,   0.4056, 0.320477
  16,   0.4363, 0.351547
  17,   0.4363, 0.353822
  18,   0.4415, 0.371285
  19,   0.4444, 0.383831
  20,    0.473, 0.398215
  21,   0.4534, 0.399427
  22,   0.4723, 0.413884
  23,   0.4532, 0.417058
  24,   0.4984, 0.430614
  25,   0.4719, 0.425574
  26,   0.4927, 0.446568
  27,   0.4841, 0.430865
  28,   0.5083, 0.438892
  29,   0.4935, 0.439718
  30,   0.5018, 0.447936
  31,   0.5096, 0.448967
  32,   0.5226, 0.458595
  33,   0.5226, 0.453596
  34,   0.5388, 0.466753
  35,   0.5361, 0.476094
  36,   0.5361, 0.475207
  37,   0.5492, 0.476149
  38,   0.5399,   0.4833
  39,   0.5645, 0.489134
  40,   0.5645, 0.492026
  41,   0.5771, 0.502936
  42,   0.5735, 0.510625
  43,   0.5735, 0.526191
  44,   0.5807, 0.528553
  45,   0.5944, 0.532729
  46,   0.5944, 0.534178
  47,   0.5783, 0.537584
  48,   0.5933, 0.539026
  49,   0.5935, 0.543806
  50,   0.5935, 0.545834
  51,   0.5989, 0.543529
  52,   0.5925, 0.546928
  53,   0.5964,  0.54751
  54,   0.6233, 0.553122
  55,   0.6049, 0.556914
  56,   0.6063, 0.562412
  57,   0.5853, 0.559178
  58,   0.6183, 0.553157
  59,   0.6052, 0.548131
  60,   0.6052, 0.555477
  61,   0.6012, 0.560543
  62,   0.6149, 0.560651
  63,   0.6053, 0.558762
  64,   0.6255, 0.559631
  65,   0.6153, 0.559974
  66,   0.6232, 0.567219
  67,   0.6232, 0.551365
  68,   0.6232, 0.564553
  69,   0.6295, 0.563203
  70,   0.6166,  0.57284
  71,   0.6282, 0.575959
  72,   0.6243, 0.570564
  73,   0.6356, 0.577087
  74,   0.6341, 0.577353
  75,   0.6335, 0.575978
  76,   0.6295,  0.57574
  77,   0.6409, 0.579997
  78,   0.6331, 0.582764
  79,   0.6431, 0.580946
  80,   0.6423, 0.592062
  81,   0.6611, 0.586271
  82,   0.6447, 0.588999
  83,   0.6447, 0.599767
  84,    0.652, 0.590474
  85,   0.6489,  0.59475
  86,   0.6575, 0.603495
  87,   0.6575, 0.597552
  88,   0.6525, 0.604101
  89,   0.6525, 0.605885
  90,   0.6554, 0.607218
  91,   0.6554, 0.604078
  92,   0.6506, 0.609198
  93,   0.6599, 0.607965
  94,   0.6599, 0.596983
  95,   0.6685, 0.605374
  96,   0.6586, 0.608747
  97,   0.6586, 0.618298
  98,   0.6615, 0.609119
  99,   0.6697, 0.609701
 100,   0.6814, 0.612334
 101,   0.6731, 0.620827
 102,   0.6731, 0.624322
 103,   0.6767, 0.623221
 104,   0.6761, 0.624105
 105,   0.6944, 0.625398
 106,   0.6944, 0.630529
 107,   0.6913, 0.636743
 108,   0.6699, 0.634528
 109,   0.6883, 0.631529
 110,   0.6883, 0.624308
 111,   0.6883, 0.629919
 112,   0.6951, 0.633893
 113,   0.6951, 0.635257
 114,   0.6847, 0.637842
 115,   0.6847, 0.642701
 116,   0.6897, 0.635785
 117,   0.6897, 0.636307
 118,   0.6911, 0.636658
 119,   0.6911, 0.637181
 120,   0.6911, 0.627638
 121,   0.6918, 0.627848
 122,   0.6918, 0.634597
 123,   0.6918, 0.632628
 124,   0.6932,  0.63882
 125,   0.6802, 0.636633
 126,   0.6802, 0.635242
 127,   0.6904, 0.618958
 128,   0.6904,  0.61686
 129,   0.6904, 0.620906
 130,   0.6904, 0.627882
 131,    0.689, 0.625528
 132,   0.6953, 0.634267
 133,   0.6953, 0.628138
 134,   0.6953, 0.637074
 135,   0.6953, 0.632455
 136,   0.6999, 0.628289
 137,   0.6999, 0.631574
 138,   0.6999,  0.63395
 139,   0.6999, 0.633177
 140,   0.6999, 0.634466
 141,   0.6943, 0.641221
 142,   0.6994,  0.63377
 143,   0.6994, 0.634197
 144,   0.6994, 0.639438
 145,   0.6994, 0.640083
 146,   0.6994, 0.635873
 147,   0.6996, 0.637917
 148,   0.6996, 0.640192
 149,   0.6996, 0.639228
 150,   0.6996, 0.638173
 151,   0.6996, 0.636127
 152,   0.6983, 0.641774
 153,   0.6983, 0.642641
 154,   0.6983, 0.640782
 155,   0.6938, 0.634543
 156,   0.7047, 0.635673
 157,   0.7047, 0.637521
 158,   0.7041, 0.640225
